Site,Stem_id,Plot,Date,Species,DBH,Distance,Azimuth,Genus,Specific epithet,Scientific name,Common name,functional_group
Tuskegee,533,43,6/2/2022,QUNI,12.1,7.9,18,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,534,43,6/2/2022,QUNI,25.3,4.8,247,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,535,43,6/2/2022,QUNI,27.1,1.8,341,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,526,42,6/2/2022,QUNI,32.9,3.2,307,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,524,42,6/2/2022,QUNI,11.1,3.1,339,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,525,42,6/2/2022,QUNI,31.3,3,137,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,512,41,6/7/2022,QUNI,21.4,2.8,351,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,499,40,6/7/2022,QUNI,20,5.4,20,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,481,39,6/7/2022,QUNI,10.5,5.8,120,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,475,38,6/7/2022,QUNI,56,4.2,121,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,451,36,6/7/2022,QUNI,47.2,6.7,218,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,450,36,6/7/2022,QUNI,33.2,6.6,209,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,449,36,6/7/2022,QUNI,17.6,6,151,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,448,36,6/7/2022,QUNI,11.7,5.4,304,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,429,34,6/7/2022,QUNI,13.5,7.7,144,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,397,33,2/24/2022,QUNI,14,7.33,180,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,400,33,2/24/2022,QUNI,23.4,5.38,234,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,369,32,2/24/2022,QUNI,4.1,3.6,174,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,368,32,2/24/2022,QUNI,2,2.07,138,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,351,31,5/18/2022,QUNI,10.3,8,274,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,354,31,5/18/2022,QUNI,17.2,7.8,334,Quercus ,nigra,Quercus nigra,water oak,mesophyte
