Site,Plot,functional_group,N,plot_total
Talladega,64,uo,3,15
Talladega,65,uo,0,20
Talladega,66,uo,0,15
Talladega,67,uo,2,11
Talladega,68,uo,6,10
Talladega,69,uo,2,5
Talladega,70,uo,1,6
Talladega,71,uo,0,21
Talladega,72,uo,1,10
Talladega,74,uo,3,10
Talladega,75,uo,1,11
Talladega,76,uo,2,8
Talladega,77,uo,3,10
Talladega,78,uo,2,5
Talladega,79,uo,1,11
Talladega,80,uo,4,11
Talladega,81,uo,3,8
Talladega,82,uo,1,10
Talladega,83,uo,3,8
Talladega,84,uo,1,6
Talladega,85,uo,1,7
Talladega,86,uo,3,11
Talladega,87,uo,1,7
Talladega,88,uo,3,5
Talladega,89,uo,1,4
Talladega,91,uo,5,10
Talladega,92,uo,9,15
Talladega,93,uo,3,12
Talladega,94,uo,3,10
Talladega,95,uo,0,7
Talladega,96,uo,5,10
Talladega,97,uo,5,10
Talladega,98,uo,0,7
Talladega,99,uo,0,9
Talladega,100,uo,2,7
Talladega,101,uo,1,10
Talladega,102,uo,1,7
Tuskegee,1,mesophyte,17,23
Tuskegee,2,mesophyte,9,14
Tuskegee,2.2,mesophyte,6,9
Tuskegee,3,mesophyte,9,15
Tuskegee,3.2,mesophyte,12,18
Tuskegee,6,mesophyte,5,11
Tuskegee,7,mesophyte,3,5
Tuskegee,7.2,mesophyte,13,17
Tuskegee,8,mesophyte,4,9
Tuskegee,9,mesophyte,4,10
Tuskegee,12,mesophyte,0,8
Tuskegee,17,mesophyte,7,16
Tuskegee,34,mesophyte,8,12
Tuskegee,35,mesophyte,4,7
Tuskegee,36,mesophyte,12,15
Tuskegee,37,mesophyte,6,10
Tuskegee,38,mesophyte,7,8
Tuskegee,39,mesophyte,11,18
Tuskegee,40,mesophyte,9,12
Tuskegee,41,mesophyte,2,13
Tuskegee,42,mesophyte,4,9
Tuskegee,43,mesophyte,5,7
Tuskegee,44,mesophyte,5,8
Tuskegee,45,mesophyte,6,12
Tuskegee,47,mesophyte,10,19
Tuskegee,48,mesophyte,6,9
Tuskegee,49,mesophyte,4,7
Tuskegee,50,mesophyte,16,21
Tuskegee,51,mesophyte,7,11
Tuskegee,1,pyrophyte,5,23
Tuskegee,2,pyrophyte,5,14
Tuskegee,2.2,pyrophyte,3,9
Tuskegee,3,pyrophyte,6,15
Tuskegee,3.2,pyrophyte,6,18
Tuskegee,6,pyrophyte,3,11
Tuskegee,7,pyrophyte,2,5
Tuskegee,7.2,pyrophyte,4,17
Tuskegee,8,pyrophyte,5,9
Tuskegee,9,pyrophyte,3,10
Tuskegee,12,pyrophyte,4,8
Tuskegee,17,pyrophyte,9,16
Tuskegee,34,pyrophyte,4,12
Tuskegee,35,pyrophyte,3,7
Tuskegee,36,pyrophyte,3,15
Tuskegee,37,pyrophyte,4,10
Tuskegee,38,pyrophyte,1,8
Tuskegee,39,pyrophyte,7,18
Tuskegee,40,pyrophyte,3,12
Tuskegee,41,pyrophyte,10,13
Tuskegee,42,pyrophyte,5,9
Tuskegee,43,pyrophyte,2,7
Tuskegee,44,pyrophyte,3,8
Tuskegee,45,pyrophyte,5,12
Tuskegee,47,pyrophyte,3,19
Tuskegee,48,pyrophyte,3,9
Tuskegee,49,pyrophyte,3,7
Tuskegee,50,pyrophyte,5,21
Tuskegee,51,pyrophyte,4,11
Tuskegee,1,uo,1,23
Tuskegee,2,uo,0,14
Tuskegee,2.2,uo,0,9
Tuskegee,3,uo,0,15
Tuskegee,3.2,uo,0,18
Tuskegee,6,uo,3,11
Tuskegee,7,uo,0,5
Tuskegee,7.2,uo,0,17
Tuskegee,8,uo,0,9
Tuskegee,9,uo,3,10
Tuskegee,12,uo,4,8
Tuskegee,17,uo,0,16
Tuskegee,34,uo,0,12
Tuskegee,35,uo,0,7
Tuskegee,36,uo,0,15
Tuskegee,37,uo,0,10
Tuskegee,38,uo,0,8
Tuskegee,39,uo,0,18
Tuskegee,40,uo,0,12
Tuskegee,41,uo,1,13
Tuskegee,42,uo,0,9
Tuskegee,43,uo,0,7
Tuskegee,44,uo,0,8
Tuskegee,45,uo,1,12
Tuskegee,47,uo,6,19
Tuskegee,48,uo,0,9
Tuskegee,49,uo,0,7
Tuskegee,50,uo,0,21
Tuskegee,51,uo,0,11
