Site,Plot,functional_group,ba
Talladega,66,mesophyte,200.8592993
Talladega,66,pyrophyte,53.78187067
Talladega,66,uo,0
Talladega,67,mesophyte,55.33769273
Talladega,67,pyrophyte,45.71770104
Talladega,67,uo,81.77686143
Talladega,68,mesophyte,17.19908705
Talladega,68,pyrophyte,23.18093713
Talladega,68,uo,118.6680366
Talladega,69,mesophyte,2.475417385
Talladega,69,pyrophyte,58.02851082
Talladega,69,uo,165.1600981
Talladega,70,mesophyte,1.690743381
Talladega,70,pyrophyte,119.0420291
Talladega,70,uo,2.120868498
Talladega,71,pyrophyte,145.0400828
Talladega,71,mesophyte,0
Talladega,71,uo,0
Talladega,72,mesophyte,2.158910224
Talladega,72,pyrophyte,96.79844008
Talladega,72,uo,5.478008556
Talladega,74,mesophyte,20.92633083
Talladega,74,pyrophyte,44.18757828
Talladega,74,uo,28.41277345
Talladega,75,mesophyte,35.75262862
Talladega,75,pyrophyte,16.7764012
Talladega,75,uo,27.8695376
Talladega,76,mesophyte,12.73975138
Talladega,76,pyrophyte,58.94962781
Talladega,76,uo,38.54708928
Talladega,77,mesophyte,65.09176037
Talladega,77,pyrophyte,73.56847139
Talladega,77,uo,22.98497997
Talladega,78,mesophyte,58.81690446
Talladega,78,pyrophyte,40.92681059
Talladega,78,uo,108.0046872
Talladega,79,mesophyte,59.14186534
Talladega,79,pyrophyte,109.4380994
Talladega,79,uo,7.174838614
Talladega,80,mesophyte,23.52145285
Talladega,80,pyrophyte,116.7926641
Talladega,80,uo,71.7373963
Talladega,81,mesophyte,14.98725656
Talladega,81,pyrophyte,75.05970705
Talladega,81,uo,81.22686261
Talladega,82,mesophyte,44.82194519
Talladega,82,pyrophyte,94.12892535
Talladega,82,uo,13.73306312
Talladega,83,pyrophyte,47.81422283
Talladega,83,uo,46.47160351
Talladega,83,mesophyte,0
Talladega,84,mesophyte,51.74520119
Talladega,84,pyrophyte,55.5743968
Talladega,84,uo,27.59563718
Talladega,85,pyrophyte,98.28494166
Talladega,85,uo,37.986946
Talladega,85,mesophyte,0
Talladega,86,mesophyte,8.407897762
Talladega,86,pyrophyte,69.31388474
Talladega,86,uo,65.24798506
Talladega,87,pyrophyte,118.8426904
Talladega,87,uo,41.09334881
Talladega,87,mesophyte,0
Talladega,88,pyrophyte,93.11684636
Talladega,88,uo,54.17378498
Talladega,88,mesophyte,0
Talladega,89,pyrophyte,124.8811804
Talladega,89,uo,18.86125687
Talladega,89,mesophyte,0
Talladega,91,mesophyte,5.275457499
Talladega,91,pyrophyte,66.77523355
Talladega,91,uo,114.2773452
Talladega,92,mesophyte,8.178632959
Talladega,92,pyrophyte,106.3540144
Talladega,92,uo,126.6941645
Talladega,93,pyrophyte,114.3005083
Talladega,93,uo,72.91246295
Talladega,93,mesophyte,0
Talladega,94,mesophyte,9.692186434
Talladega,94,pyrophyte,88.13354932
Talladega,94,uo,27.33492455
Talladega,95,mesophyte,25.24448943
Talladega,95,pyrophyte,95.04209585
Talladega,95,uo,0
Talladega,96,mesophyte,4.943902722
Talladega,96,pyrophyte,133.5812386
Talladega,96,uo,32.86551522
Talladega,97,mesophyte,4.477426623
Talladega,97,pyrophyte,119.0820997
Talladega,97,uo,46.82801221
Talladega,98,mesophyte,59.46902418
Talladega,98,pyrophyte,121.5328322
Talladega,98,uo,0
Talladega,99,mesophyte,182.1388813
Talladega,99,pyrophyte,141.2440258
Talladega,99,uo,0
Talladega,100,mesophyte,4.274368343
Talladega,100,pyrophyte,93.4915151
Talladega,100,uo,53.2065107
Talladega,101,mesophyte,41.75341503
Talladega,101,pyrophyte,83.58308258
Talladega,101,uo,26.64763736
Talladega,102,mesophyte,5.752078058
Talladega,102,pyrophyte,81.06201513
Talladega,102,uo,33.63159105
CR,103,mesophyte,26.93049873
CR,103,pyrophyte,128.7565333
CR,103,uo,0
CR,104,mesophyte,20.97045923
CR,104,pyrophyte,73.28391928
CR,104,uo,34.52785411
CR,105,mesophyte,67.18016659
CR,105,pyrophyte,90.20606256
CR,105,uo,29.88997594
CR,106,mesophyte,2.314458615
CR,106,pyrophyte,87.80909567
CR,106,uo,23.95343778
CR,107,mesophyte,3.957861182
CR,107,pyrophyte,133.7063536
CR,107,uo,13.00671976
