Site,Plot,Date,Species,DBH,Distance,Azimuth,Genus,Specific epithet,Scientific name,Common name,Functional group,Notes
Tuskegee,2,6/6/2022,PIEC,46.5,7.8,350,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte,
Tuskegee,2,6/6/2022,PITA,59.4,6.9,153,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,2,6/6/2022,LIST,10.2,7.4,140,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,2,6/6/2022,LIST,10.8,8,344,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,2,6/6/2022,LIST,15.9,3.8,292,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,2.2,6/6/2022,PITA,20.1,6.2,158,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,2.2,6/6/2022,PITA,40.8,5,148,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,2.2,6/6/2022,PIEC,66,4.2,47,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte,
Tuskegee,2.2,6/6/2022,LITU,12.9,6.1,30,Liriodendron ,tulipifera,Liriodendron tulipifera,tulip poplar,mesophyte,
Tuskegee,2.2,6/6/2022,LIST,13.4,5.1,23,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,2.2,6/6/2022,LIST,14.2,5.9,24,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,2.2,6/6/2022,LIST,17.1,7.1,231,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,2.2,6/6/2022,LIST,17.2,3.1,136,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,2.2,6/6/2022,ACRU,11.4,6.6,253,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Tuskegee,3,6/6/2022,QUNI,11,7,,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,3,6/6/2022,QUNI,15.5,3.2,,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,3,6/6/2022,QUNI,16.9,5.1,,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,3,6/6/2022,QUNI,22.7,7,,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,3,6/6/2022,QUNI,22.8,8,,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,3,6/6/2022,QUNI,23.1,7,,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,3,6/6/2022,QUNI,25.6,5.4,,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,3,6/6/2022,PITA,23.6,5.9,,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,3,6/6/2022,PITA,26.5,4.5,,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,3,6/6/2022,PITA,28.3,3.7,,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,3,6/6/2022,PITA,34.5,5.9,,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,3,6/6/2022,PITA,41.7,8,,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,3,6/6/2022,PITA,42.3,4.1,,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,3,6/6/2022,LIST,14.3,3.8,,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,3,6/6/2022,LIST,16.2,3.6,,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,3.2,6/6/2022,ULAL,10,3.6,46,Ulmus ,alata,Ulmus alata,winged elm,mesophyte,
Tuskegee,3.2,6/6/2022,QUNI,14.3,4.8,168,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,3.2,6/6/2022,QUNI,14.8,7.8,191,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,3.2,6/6/2022,QUNI,15.2,7.8,341,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,3.2,6/6/2022,PITA,13.2,6.1,27,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,3.2,6/6/2022,PITA,17,63,33,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,3.2,6/6/2022,PITA,17.1,6,54,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,3.2,6/6/2022,PIEL,36.4,6.9,352,Pinus ,elliottii,Pinus elliottii,slash pine,pyrophyte,
Tuskegee,3.2,6/6/2022,PIEL,40.5,3.9,237,Pinus ,elliottii,Pinus elliottii,slash pine,pyrophyte,
Tuskegee,3.2,6/6/2022,PIEL,52.7,7.1,49,Pinus ,elliottii,Pinus elliottii,slash pine,pyrophyte,
Tuskegee,3.2,6/6/2022,LIST,10.6,5.2,220,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,3.2,6/6/2022,LIST,10.7,7.4,338,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,3.2,6/6/2022,LIST,11.9,1.2,93,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,3.2,6/6/2022,LIST,12.7,5.1,250,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,3.2,6/6/2022,LIST,18.9,6.3,106,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,3.2,6/6/2022,LIST,19.3,3.3,142,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,3.2,6/6/2022,LIST,21.1,3,2,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,3.2,6/6/2022,LIST,21.4,6.3,321,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,6,6/6/2022,QUFA,15.5,5.4,,Quercus ,falcata,Quercus falcata,southern red oak,pyrophyte,
Tuskegee,6,6/6/2022,QUNI,25,3.5,,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,6,6/6/2022,QUNI,28.4,5.6,,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,6,6/6/2022,QUNI,30.4,6.7,,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,6,6/6/2022,QUFA,31.9,5.7,,Quercus ,falcata,Quercus falcata,southern red oak,pyrophyte,
Tuskegee,6,6/6/2022,QUAL,37.3,4.4,,Quercus ,alba,Quercus alba,white oak,pyrophyte,
Tuskegee,6,6/6/2022,PIEL,16.9,8.1,,Pinus ,elliottii,Pinus elliottii,slash pine,pyrophyte,
Tuskegee,6,6/6/2022,PIEL,41.2,4.4,,Pinus ,elliottii,Pinus elliottii,slash pine,pyrophyte,
Tuskegee,6,6/6/2022,PIEL,47.3,3.3,,Pinus ,elliottii,Pinus elliottii,slash pine,pyrophyte,
Tuskegee,6,6/6/2022,LITU,37.8,7,,Liriodendron ,tulipifera,Liriodendron tulipifera,tulip poplar,mesophyte,
Tuskegee,6,6/6/2022,LIST,19.1,7.5,,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,7,6/6/2022,PITA,58.4,4.1,,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,7,6/6/2022,PITA,59.6,7.6,,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,7,6/6/2022,LITU,18.8,6.5,,Liriodendron ,tulipifera,Liriodendron tulipifera,tulip poplar,mesophyte,
Tuskegee,7,6/6/2022,LITU,21.4,7.5,,Liriodendron ,tulipifera,Liriodendron tulipifera,tulip poplar,mesophyte,
Tuskegee,7,6/6/2022,ACRU,16.3,3.9,,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Tuskegee,7.2,6/6/2022,QUNI,12.5,6.6,238,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,7.2,6/6/2022,QUNI,33.8,3.6,288,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,7.2,6/6/2022,PIEL,41.4,4.2,342,Pinus ,elliottii,Pinus elliottii,slash pine,pyrophyte,
Tuskegee,7.2,6/6/2022,PITA,42.5,7.5,244,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,7.2,6/6/2022,PITA,54.4,8,147,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,7.2,6/6/2022,PITA,61.2,4.4,47,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,7.2,6/6/2022,LITU,17.8,4.2,138,Liriodendron ,tulipifera,Liriodendron tulipifera,tulip poplar,mesophyte,
Tuskegee,7.2,6/6/2022,LITU,19.2,6.5,33,Liriodendron ,tulipifera,Liriodendron tulipifera,tulip poplar,mesophyte,
Tuskegee,7.2,6/6/2022,LITU,21.2,6,40,Liriodendron ,tulipifera,Liriodendron tulipifera,tulip poplar,mesophyte,
Tuskegee,7.2,6/6/2022,LITU,22.9,7.5,112,Liriodendron ,tulipifera,Liriodendron tulipifera,tulip poplar,mesophyte,
Tuskegee,7.2,6/6/2022,LIST,12.5,4.8,168,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,7.2,6/6/2022,LIST,13.7,4.4,252,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,7.2,6/6/2022,LIST,15.8,5.2,184,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,7.2,6/6/2022,LIST,16.6,3.4,139,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,7.2,6/6/2022,LIST,18,5.7,146,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,7.2,6/6/2022,LIST,21.2,7.2,99,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,7.2,6/6/2022,LIST,21.3,6.4,233,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,8,6/6/2022,PIEL,11.2,5.9,,Pinus ,elliottii,Pinus elliottii,slash pine,pyrophyte,
Tuskegee,8,6/6/2022,PIEL,24.3,4.4,,Pinus ,elliottii,Pinus elliottii,slash pine,pyrophyte,
Tuskegee,8,6/6/2022,PIPA,31.4,7.6,,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte,
Tuskegee,8,6/6/2022,PIPA,53.8,8,,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte,
Tuskegee,8,6/6/2022,PIEL,61.2,5.4,,Pinus ,elliottii,Pinus elliottii,slash pine,pyrophyte,
Tuskegee,8,6/6/2022,LITU,39.7,8,,Liriodendron ,tulipifera,Liriodendron tulipifera,tulip poplar,mesophyte,
Tuskegee,8,6/6/2022,LIST,18,5.1,,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,8,6/6/2022,LIST,37,4.4,,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,8,6/6/2022,LIST,39.3,6.2,,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,9,6/6/2022,QUNI,20.3,5.1,,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,9,6/6/2022,QUAL,30.4,6.7,,Quercus ,alba,Quercus alba,white oak,pyrophyte,
Tuskegee,9,6/6/2022,QUAL,43.2,5.8,,Quercus ,alba,Quercus alba,white oak,pyrophyte,
Tuskegee,9,6/6/2022,QUAL,44.2,5.5,,Quercus ,alba,Quercus alba,white oak,pyrophyte,
Tuskegee,9,6/6/2022,PIEL,46.3,5.8,,Pinus ,elliottii,Pinus elliottii,slash pine,pyrophyte,
Tuskegee,9,6/6/2022,PITA,51.7,7,,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,9,6/6/2022,PIEL,58.2,6.4,,Pinus ,elliottii,Pinus elliottii,slash pine,pyrophyte,
Tuskegee,9,6/6/2022,JUVI,41.2,7.8,,Juniperus , virginiana,Juniperus  virginiana,eastern red cedar,intermediate,
Tuskegee,9,6/6/2022,COFL,22.4,7.9,,Cornus ,florida,Cornus florida,flowering dogwood,mesophyte,
Tuskegee,9,6/6/2022,ACRU,16.7,7.1,,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Tuskegee,12,6/6/2022,QUVE,23.2,4.23,,Quercus ,velutina,Quercus velutina,black oak,pyrophyte,
Tuskegee,12,6/6/2022,QUFA,26,5.54,,Quercus ,falcata,Quercus falcata,southern red oak,pyrophyte,
Tuskegee,12,6/6/2022,QUFA,29.5,4.91,,Quercus ,falcata,Quercus falcata,southern red oak,pyrophyte,
Tuskegee,12,6/6/2022,QUFA,30,4.73,,Quercus ,falcata,Quercus falcata,southern red oak,pyrophyte,
Tuskegee,12,6/6/2022,PITA,12.8,6.77,,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,12,6/6/2022,PIPA,23.3,7.65,,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte,
Tuskegee,12,6/6/2022,PIEL,37.4,5.8,,Pinus ,elliottii,Pinus elliottii,slash pine,pyrophyte,
Tuskegee,12,6/6/2022,PIEL,43.3,5.02,,Pinus ,elliottii,Pinus elliottii,slash pine,pyrophyte,
Tuskegee,17,6/6/2022,QUNI,8.3,7.33,,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,17,6/6/2022,QUNI,12,2.13,,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,17,6/6/2022,QUNI,17,2.14,,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,17,6/6/2022,QUNI,23.9,6.66,,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,17,6/6/2022,QUNI,25,4.69,,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,17,6/6/2022,PITA,19.2,6.61,,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,17,6/6/2022,PITA,24.1,6.37,,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,17,6/6/2022,PITA,24.8,4.1,,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,17,6/6/2022,PITA,25,6.61,,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,17,6/6/2022,PITA,28.5,4.47,,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,17,6/6/2022,PITA,33.4,4.79,,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,17,6/6/2022,PITA,33.4,6.35,,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,17,6/6/2022,PITA,38.8,7.77,,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,17,6/6/2022,PITA,44.1,4.4,,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Tuskegee,17,6/6/2022,LIST,20,8,,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,17,6/6/2022,LIST,30,2.45,,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,19,5/19/2022,QUST,37.9,6.1,42,Quercus ,stellata,Quercus stellata,post oak,pyrophyte,
Kreher,19,5/19/2022,QUST,39.5,5.9,90,Quercus ,stellata,Quercus stellata,post oak,pyrophyte,
Kreher,19,5/19/2022,QUNI,76,7.1,320,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Kreher,19,5/19/2022,PRSE,14.6,4.2,35,Prunus,serotina,Prunusserotina,cherry,mesophyte,
Kreher,19,5/19/2022,PITA,14.2,3.9,142,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Kreher,19,5/19/2022,PITA,24.9,7.8,150,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Kreher,19,5/19/2022,PIEC,33.5,4.5,335,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte,"""2"""
Kreher,19,5/19/2022,PIEC,36,4.5,225,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte,"""2"""
Kreher,19,5/19/2022,PITA,41,3.6,160,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Kreher,19,5/19/2022,PITA,47.3,6.1,358,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Kreher,19,5/19/2022,LIST,10.1,4.8,303,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,19,5/19/2022,LIST,10.6,7.7,274,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,19,5/19/2022,LIST,10.6,6.8,282,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,19,5/19/2022,LIST,11.2,6.7,284,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,19,5/19/2022,LIST,12.4,3.7,272,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,19,5/19/2022,LIST,14.2,4.7,230,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,19,5/19/2022,LIST,14.5,6.6,180,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,19,5/19/2022,LIST,16,5.1,270,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,20,5/19/2022,QUNI,13,4.1,321,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Kreher,20,5/19/2022,PRSE,11.6,4.6,348,Prunus,serotina,Prunusserotina,cherry,mesophyte,
Kreher,20,5/19/2022,PRSE,23,4,20,Prunus,serotina,Prunusserotina,cherry,mesophyte,
Kreher,20,5/19/2022,PITA,33.8,7.9,225,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Kreher,20,5/19/2022,PITA,45.4,6.1,84,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Kreher,20,5/19/2022,PITA,55.6,3.7,173,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Kreher,20,5/19/2022,PITA,64.3,7.1,268,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Kreher,20,5/19/2022,LIST,10.1,5.1,34,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,20,5/19/2022,LIST,12.5,7.8,177,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,20,5/19/2022,LIST,13,5.2,113,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,20,5/19/2022,LIST,14.9,6.2,107,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,20,5/19/2022,LIST,20.1,4.1,339,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,20,5/19/2022,LIST,20.3,2.8,356,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,20,5/19/2022,LIST,24.3,4.9,336,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,20,5/19/2022,LIST,24.6,7.9,21,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,20,5/19/2022,LIST,34,4.7,359,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,21,5/19/2022,QUNI,41.9,4.8,284,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Kreher,21,5/19/2022,PITA,16.4,4.9,145,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Kreher,21,5/19/2022,PITA,19.1,2.8,231,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Kreher,21,5/19/2022,PITA,24.2,4.6,186,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Kreher,21,5/19/2022,PITA,25.1,8,137,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Kreher,21,5/19/2022,PITA,29.6,6.9,79,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Kreher,21,5/19/2022,PITA,33.3,3.1,142,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Kreher,21,5/19/2022,PITA,60.4,3.8,338,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Kreher,21,5/19/2022,NYSY,19.2,5.9,268,Nyssa ,sylvatica,Nyssa sylvatica,black gum,mesophyte,
Kreher,21,5/19/2022,LIST,10.3,4.5,94,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,21,5/19/2022,LIST,13.9,5.2,39,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,21,5/19/2022,LIST,18.6,5.9,77,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,21,5/19/2022,LIST,20,7.8,87,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,21,5/19/2022,LIST,20.7,3.3,90,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,21,5/19/2022,LIST,23.7,2.9,273,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,21,5/19/2022,JUVI,10.9,2.6,350,Juniperus , virginiana,Juniperus  virginiana,eastern red cedar,intermediate,
Kreher,21,5/19/2022,JUVI,11,7.2,19,Juniperus , virginiana,Juniperus  virginiana,eastern red cedar,intermediate,
Kreher,21,5/19/2022,JUVI,14.9,4.9,39,Juniperus , virginiana,Juniperus  virginiana,eastern red cedar,intermediate,
Kreher,21,5/19/2022,ACRU,10.1,5.4,135,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Kreher,22,5/19/2022,QUNI,10,8,141,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Kreher,22,5/19/2022,QUNI,10.2,7.8,181,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Kreher,22,5/19/2022,PITA,24.5,4.1,261,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Kreher,22,5/19/2022,PITA,37.3,5.2,262,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Kreher,22,5/19/2022,PITA,45,3.9,218,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte,
Kreher,22,5/19/2022,LIST,10.6,5.6,349,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,22,5/19/2022,LIST,12.3,6,32,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,22,5/19/2022,LIST,15.8,5.7,87,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,22,5/19/2022,LIST,18,1.6,61,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Kreher,22,5/19/2022,LIST,20.1,5.1,149,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
