Site,Plot,Location,Total_wt,Pine_wt,UO_wt,SG_wt,WO_wt,MESO_wt
Tuskegee,49,S,51.53,39.12,0,6.01,5.86,0.54
Tuskegee,50,N,50.26,35.95,0,7.48,5.82,1.01
Tuskegee,50,S,30.97,26.22,0,2.06,1.66,1.03
Tuskegee,51,N,44.95,34.21,0,10.44,0,0.3
Tuskegee,51,S,23.66,17.09,0,6.21,0.28,0.08
MOT,52,N,26.29,5.05,14.3,1.79,3.73,1.42
MOT,52,S,30.78,6.56,17.05,2.13,3.14,1.9
MOT,53,N,41.6,1.97,24.62,1.63,4.1,9.28
MOT,53,S,54.97,17.89,29.68,0.49,2.03,4.88
MOT,54,N,60.21,47.72,0,1.56,4.24,6.69
MOT,54,S,52.74,33.29,0.28,12.07,4.04,3.06
MOT,55,N,52.22,20.58,12.9,3.46,1,14.28
MOT,55,S,44.89,22.78,8.56,5.63,0.8,7.12
MOT,56,N,38.46,5.54,21.26,2.56,0.51,8.59
MOT,56,S,47.31,21.4,14.49,3.98,2.73,4.71
MOT,57,N,53.14,35.64,8.2,2.54,0.59,6.17
MOT,57,S,44.74,8.26,7.62,7.24,1.4,20.22
MOT,58,N,53.6,19.1,28.92,0,0.71,4.87
MOT,58,S,30.95,2.07,20.45,0,0.27,8.16
MOT,59,N,35.39,19.24,0.21,0,15.74,0.2
MOT,59,S,49.42,36.2,0.32,1.85,11.05,0
MOT,60,N,63.98,55.37,0.32,2.04,1.56,4.69
MOT,60,S,67.01,59.74,0,4.46,2.25,0.56
Talladega,61,N,39.87,23.74,0,6.73,0,9.4
Talladega,61,S,36.64,27.65,0,0.92,0,8.07
Talladega,62,N,38.53,29.02,0.29,6.02,0,3.2
Talladega,62,S,31.44,16.78,4.25,4.59,0.21,5.61
Talladega,63,N,50.92,38.81,0,0,0.07,12.04
Talladega,63,S,33.07,21.59,0,0,0,11.48
Talladega,64,N,40.48,30.88,4.03,0.48,0,5.09
Talladega,64,S,33.64,18.84,8.55,0,0,6.25
Talladega,65,N,47.06,35.91,3.47,2.88,0,4.8
Talladega,65,S,56.63,43.25,1.14,0.41,0,11.83
Talladega,66,N,38.09,24.87,5.21,1.45,0,6.56
Talladega,66,S,27.08,6.66,11.92,2.63,0,5.87
Talladega,67,N,22.21,5.22,13.86,0,0.57,2.56
Talladega,67,S,40.5,8.88,13.68,4.57,1.47,11.9
Talladega,68,N,25.88,2.44,22.07,0,0.19,1.18
Talladega,68,S,34.53,0.43,28.42,0,1.18,4.5
Talladega,69,N,30.68,10.31,19.83,0,0,0.54
Talladega,69,S,54.85,31.23,23.5,0,0,0.12
Talladega,70,N,39.49,18.8,18.92,0,0,1.77
Talladega,70,S,72.16,30.17,37.01,0,0.13,4.85
Talladega,71,N,125.3,125.3,0,0,0,0
Talladega,71,S,75.16,75.16,0,0,0,0
Talladega,72,N,28.99,14.88,12.3,0,0,1.81
Talladega,72,S,42.89,31.85,10.13,0,0,0.91
Talladega,74,N,33.99,4.62,13.35,0,0,16.02
Talladega,74,S,38.53,3.04,23.1,0,0,12.39
Talladega,75,N,30.86,0.88,19.58,0,0.1,10.3
Talladega,75,S,25.46,2.89,9.62,0,2.17,10.78
Talladega,76,N,28.53,7.37,8.52,0.22,0,12.42
Talladega,76,S,28.22,1.42,21.13,0,0,5.67
Talladega,77,N,38.7,19.97,5.68,0.59,0,12.46
Talladega,77,S,39.32,23.72,4.52,0,0,11.08
Talladega,78,N,29.25,3.02,20.21,0,0,6.02
Talladega,78,S,29.3,15.41,8.58,0,0,5.31
Talladega,79,N,46.37,22.07,18.2,0,0,6.1
Talladega,79,S,38.23,13.7,21.23,0,0,3.3
Talladega,80,N,56.12,29.48,23.72,,0,2.92
Talladega,80,S,35.82,20.63,9.08,0,0,6.11
Talladega,81,N,75.25,46.59,22.2,0,0,6.46
Talladega,81,S,43.65,23.15,16.26,0,0,4.24
Talladega,82,N,21.28,7.47,7.99,0,0,5.82
Talladega,82,S,51.63,29.93,10.23,0,0,11.47
Talladega,83,N,32.23,2.76,26.55,0,0,2.92
Talladega,83,S,26.63,4.04,16.49,0,0,6.1
Talladega,84,N,40.64,15.44,12.26,0,0,12.94
Talladega,84,S,29.59,5.61,18.4,0,0,5.58
Talladega,85,N,41.25,19.88,20.11,0,0,1.26
Talladega,85,S,38.78,21.2,16.87,0,0,0.71
Talladega,86,N,37.06,18.38,15.52,0,0,3.16
Talladega,86,S,30.21,11.36,14.45,0,0,4.4
Talladega,87,N,44.97,17.8,18.57,0.28,0,8.32
Talladega,87,S,45.12,20.33,19.38,0,0,5.41
Talladega,88,N,45.8,16.53,29.12,0,0,0.15
Talladega,88,S,42.13,15.49,26.21,0,0.24,0.19
Talladega,89,N,57.86,49.78,7.85,0,0,0.23
Talladega,89,S,34.97,27.94,2.72,0,0,4.31
Talladega,91,N,38.13,3.39,29.6,0,0,5.14
Talladega,91,S,35.25,2.31,26.85,0,0,6.09
Talladega,92,N,39.91,3.98,34.03,0,0,1.9
Talladega,92,S,41.1,11.53,27.41,0,0,2.16
Talladega,93,N,44.02,13.06,30.07,0,0,0.89
Talladega,93,S,41.77,8.47,29.22,0,0,4.08
Talladega,94,N,24.89,16.48,6.11,0,0.14,2.16
Talladega,94,S,39.25,27.58,9.59,0.15,0,1.93
Talladega,95,N,48.63,22.9,19.62,0,0,6.11
Talladega,95,S,36.15,15.15,19.1,0.4,0,1.5
Talladega,96,N,54.39,26.38,25.73,0,0,2.28
Talladega,96,S,64.49,40.73,19.68,1.6,0,2.48
Talladega,97,N,34.61,15.42,13.36,0,0,5.83
Talladega,97,S,32.31,13.34,17.13,0,0,1.84
Talladega,98,N,49.17,34.75,2.82,0,0,11.6
Talladega,98,S,62.52,47.59,2.01,0,0,12.92
Talladega,99,N,51.72,24.34,7.17,2.65,0,17.56
Talladega,99,S,40.97,13.86,8.75,0.37,0.16,17.83
Talladega,100,N,53,9.22,31.81,0,0,11.97
Talladega,100,S,49.4,22.59,18.18,0,0,8.63
Talladega,101,N,51.6,10.03,16.78,0.22,0.25,24.32
Talladega,101,S,32.9,11.74,14.89,0,0,6.27
Talladega,102,N,29.05,7.38,18.15,0,0,3.52
Talladega,102,S,68.96,53.18,10.24,0,0,5.54
CR,103,N,44.07,30.37,1.53,0.27,0.39,11.51
CR,103,S,30.81,17.19,4.71,0,0.28,8.63
CR,104,N,31.89,17.36,8.88,0.53,0,5.12
CR,104,S,42.26,23.49,14.58,0,0,4.19
CR,105,N,37.45,17.77,6.91,0,0,12.77
CR,105,S,54.83,36.06,9.83,0,0,8.94
CR,106,N,55.18,41.74,6.53,0,0,6.91
CR,106,S,37.14,23.06,9.12,0,0.35,4.61
CR,107,N,72.53,58.7,12.8,0,0,1.03
CR,107,S,86.14,81.39,3.73,0,0,1.02
