collection,Plot,Treatment,Burn_Szn,canopy_trt,Total_wt,Pine_wt,UO_wt,SG_wt,WO_wt,MESO_wt,Total_m,Load_gm2
4/12/2022,8,thin,ED,med,,4.16,0,0.28,10.09,0,14.53,161.4283
4/12/2022,4,thin,ED,low,,3.53,9.36,0.59,0.67,5.34,19.49,216.5339
4/12/2022,12,control,LD,high,,3.01,4.58,1.1,0.65,2.38,11.72,130.2092
4/12/2022,4,control,GS,low,,2.42,19.45,1.02,2.96,7.7,33.55,372.7405
4/12/2022,4,control,Control,low,,1.85,20.35,0.42,1.05,10.55,34.22,380.1842
6/24/2022,10,thin,ED,med,,47.4,0,0,3.2,0.45,51.05,567.1655
6/24/2022,10,thin,GS,med,,43.19,0.5,0.46,1.83,0.47,46.45,516.0595
6/24/2022,8,thin,LD,med,,40.61,0.31,0.95,8.27,0.51,50.65,562.7215
6/24/2022,7,thin,LD,med,,40.46,0.93,0,2.26,0.22,43.87,487.3957
6/24/2022,6,thin,ED,low,,39.81,10.93,0,4.52,2.79,58.05,644.9355
6/24/2022,2,control,ED,med,,39.1,1.58,0.92,4.42,2.63,48.65,540.5015
6/24/2022,6,thin,LD,low,,39.07,3.02,1.13,4.21,0.85,48.28,536.3908
6/24/2022,10,thin,LD,med,,37.76,0.6,0,2.53,0.66,41.55,461.6205
6/24/2022,12,thin,Control,high,,37.6,3.06,0.18,8.75,0.43,50.02,555.7222
6/24/2022,9,control,GS,high,,36.3,0.39,0.31,6.92,1.83,45.75,508.2825
6/24/2022,10,thin,Control,med,,35.71,0.56,0,3.09,1.92,41.28,458.6208
6/24/2022,9,control,Control,high,,32.56,0.12,0,9.4,1.04,43.12,479.0632
6/24/2022,3,control,ED,high,,30.53,1.98,0.65,12.34,0.41,45.91,510.0601
6/24/2022,2,thin,LD,med,,30.31,0.37,0,1.66,1.02,33.36,370.6296
6/24/2022,2,control,LD,med,,29.28,4.02,0,8.68,2.77,44.75,497.1725
6/24/2022,5,thin,LD,low,,29.2,13,0,3.6,1.29,47.09,523.1699
6/24/2022,10,control,LD,med,,28.66,1.61,0,0.51,6.63,37.41,415.6251
6/24/2022,9,thin,GS,high,,27.96,1.08,0.41,7.13,1.33,37.91,421.1801
6/24/2022,7,control,Control,med,,27.93,0.64,0.42,9.22,3.27,41.48,460.8428
6/24/2022,7,thin,GS,med,,24.88,0,0.36,1.52,0.81,27.57,306.3027
6/24/2022,9,thin,LD,high,,24.43,0.73,0.85,2.4,1.41,29.82,331.3002
6/24/2022,8,control,LD,med,,24.39,0.34,0.08,6.2,0.83,31.84,353.7424
6/24/2022,3,control,LD,high,,23.76,1.89,0,5.76,3.64,35.05,389.4055
6/24/2022,2,thin,ED,med,,22.51,2.77,0,3.44,2.98,31.7,352.187
6/24/2022,9,control,LD,high,,21.91,5.93,0.47,1.06,1.28,30.65,340.5215
6/24/2022,5,thin,Control,low,,21.18,5.21,0,3.4,3.31,33.1,367.741
6/24/2022,8,thin,GS,med,,21.14,1.24,0,24.1,0.71,47.19,524.2809
6/24/2022,1,thin,Control,high,,19.77,1.66,0,6.48,1.49,29.4,326.634
6/24/2022,6,thin,Control,low,,19.26,9.97,4.51,3.86,3.84,41.44,460.3984
6/24/2022,12,thin,ED,high,,18.92,3.82,0,6.69,0.64,30.07,334.0777
6/24/2022,2,thin,Control,med,,18.71,1.13,0,12.94,3.78,36.56,406.1816
6/24/2022,7,control,GS,med,,18.62,2.11,2.58,8.71,3.09,35.11,390.0721
6/24/2022,1,thin,ED,high,,18.61,0.11,0,5.72,1.53,25.97,288.5267
6/24/2022,6,thin,GS,low,,18.58,3.97,0,2.37,0.96,25.88,287.5268
6/24/2022,10,control,ED,med,,18.27,0,2.06,8.46,3.56,32.35,359.4085
6/24/2022,2,thin,GS,med,,18.26,2.13,0.84,12.19,6.07,39.49,438.7339
6/24/2022,6,control,ED,low,,17.61,6.73,5.12,3.86,2.39,35.71,396.7381
6/24/2022,1,thin,LD,high,,17.08,0,0,5.47,0.47,23.02,255.7522
6/24/2022,4,control,ED,low,,17.04,5.49,0,1.97,3.59,28.09,312.0799
6/24/2022,11,thin,Control,low,,16.9,5.53,0.94,0.56,0.61,24.54,272.6394
6/24/2022,1,thin,GS,high,,16.7,1.22,0.09,3.44,0.41,21.86,242.8646
6/24/2022,12,control,Control,high,,16.54,7.25,0,0.73,2.8,27.32,303.5252
6/24/2022,3,control,GS,high,,16.26,0,0.08,5.7,2.55,24.59,273.1949
6/24/2022,12,control,GS,high,,15.81,8.76,0,3.06,1.79,29.42,326.8562
6/24/2022,5,thin,GS,low,,15.19,23.5,0,2.19,0.08,40.96,455.0656
6/24/2022,5,control,ED,low,,14.97,16.19,0,10.61,2.4,44.17,490.7287
6/24/2022,3,control,Control,high,,14.28,3.17,0,9.32,0.79,27.56,306.1916
6/24/2022,7,control,LD,med,,14.21,0.87,0.21,3.8,2.43,21.52,239.0872
6/24/2022,6,control,LD,low,,13.93,12.34,0.98,4.52,3.52,35.29,392.0719
6/24/2022,9,thin,Control,high,,13.09,0.21,0.45,2.29,0.92,16.96,188.4256
6/24/2022,7,thin,ED,med,,12.73,0,0,0.78,0.13,13.64,151.5404
6/24/2022,5,control,GS,low,,12.22,9.66,0,4.58,4.67,31.13,345.8543
6/24/2022,10,control,Control,med,,11.73,0.76,0,0.48,2.89,15.86,176.2046
6/24/2022,8,control,GS,med,,11.65,1.81,0,2.25,1.19,16.9,187.759
6/24/2022,8,thin,Control,med,,11.38,1.29,0.42,6.64,0.77,20.5,227.755
6/24/2022,5,control,LD,low,,10.39,9.87,0,9.12,5.86,35.24,391.5164
6/24/2022,12,thin,GS,high,,9.8,2.84,0.6,8.65,0.61,22.5,249.975
6/24/2022,6,control,GS,low,,9.56,18.77,0,2.2,1.4,31.93,354.7423
6/24/2022,12,thin,LD,high,,9.53,0.65,3.37,6.22,4.06,23.83,264.7513
6/24/2022,9,thin,ED,high,,9.49,1.77,0.46,0.89,1.49,14.1,156.651
6/24/2022,4,thin,Control,low,,9.47,3.52,0,0.37,1.13,14.49,160.9839
6/24/2022,1,control,GS,high,,9.42,1.05,0,2.74,1.29,14.5,161.095
6/24/2022,8,control,Control,med,,9.36,3.69,0.36,5.16,0.07,18.64,207.0904
6/24/2022,7,thin,Control,med,,9.22,0,0,5.77,0.48,15.47,171.8717
6/24/2022,3,thin,ED,high,,8.93,1.29,0.18,8.24,0.21,18.85,209.4235
6/24/2022,10,control,GS,med,,8.92,1.58,0,4.13,1.19,15.82,175.7602
6/24/2022,7,control,ED,med,,8.75,0.74,0.84,5.64,1.5,17.47,194.0917
6/24/2022,3,thin,GS,high,,8.02,0.68,0,10.75,0.63,20.08,223.0888
6/24/2022,5,thin,ED,low,,8,11.2,0,3.4,4.1,26.7,296.637
6/24/2022,6,control,Control,low,,7.85,10.88,0,2.09,1.61,22.43,249.1973
6/24/2022,3,thin,LD,high,,7.51,1.25,1.83,20.48,0.54,31.61,351.1871
6/24/2022,4,thin,GS,low,,7.28,6.62,0.12,0,2.34,16.36,181.7596
6/24/2022,12,control,LD,high,,6.48,11.62,0.28,2.16,2.45,22.99,255.4189
6/24/2022,11,control,LD,low,,5.76,5.91,1.68,7.82,0.75,21.92,243.5312
6/24/2022,11,thin,LD,low,,5.54,5.11,0,0.87,0.46,11.98,133.0978
6/24/2022,2,control,GS,med,,5.42,8.9,1.43,1.28,8.24,25.27,280.7497
6/24/2022,11,thin,GS,low,,5.39,15.15,0,1.19,1.43,23.16,257.3076
6/24/2022,11,control,ED,low,,5.35,1.87,1.32,2.48,1.4,12.42,137.9862
6/24/2022,4,thin,LD,low,,5.29,13.48,0,0.44,2.67,21.88,243.0868
