Plot,Treatment,Burn_Szn,canopy_trt,litter_type,percent,frs1_cms,frs2_cms,avg_fh,consump,avg_max_temp,fuel_moist,meso_os
12,control,ED,high,pine,39.57900978,1.129943503,0.245700246,18.21428571,93,275.5555556,16.95906433,high
12,thin,ED,high,pine,61.95085629,1.01010101,0.418410042,16.66666667,98,380.5555556,8.705882353,high
1,control,LD,high,pine,26.95868946,0,0,5,10,21,18.19505095,high
1,thin,LD,high,pine,75.29498525,0.24691358,0.353982301,10.83333333,90,253.7777778,19.05274489,high
2,control,LD,med,pine,57.14542513,1.020408163,0.435729847,16.66666667,96,386.5555556,13.00813008,med
2,thin,LD,med,pine,87.49644785,0.36036036,0.561797753,13.33333333,93,354,14.61897356,med
3,control,LD,high,pine,60.77726609,0.975609756,0.377358491,19.16666667,95,497.6666667,11.26436782,high
3,thin,LD,high,pine,20.2905569,0,0,5.833333333,10,22,19.09547739,high
4,control,LD,low,pine,21.87100894,0.584795322,0.566572238,16,98,345,10.63189569,low
4,thin,LD,low,pine,48.39669421,0.757575758,0.465116279,9,80,256.7777778,10.85141903,low
5,control,LD,low,pine,35.42970973,1.398601399,2.06185567,22.5,99,443.6666667,7.903225806,low
5,thin,LD,low,pine,61.1299915,3.225806452,1.351351351,30,99,497.6666667,9.485530547,low
6,control,LD,low,pine,38.01719506,1.111111111,0.615384615,19.28571429,98,473,10.2189781,low
6,thin,LD,low,pine,83.60530342,0.727272727,0.862068966,20,96,473,6.753812636,low
7,control,LD,med,pine,55.81395349,0.445434298,0.437636761,18.33333333,90,363.4444444,9.498680739,med
7,thin,LD,med,pine,86.59951828,0.420168067,1.526717557,21.25,100,497.6666667,7.974683544,med
8,control,LD,med,pine,59.4154949,0.787401575,0.732600733,19.44444444,95,497.6666667,7.482993197,med
8,thin,LD,med,pine,77.32599856,0.571428571,0.512820513,18.75,95,497.6666667,8.058608059,med
9,control,LD,high,pine,69.76744186,1.904761905,0.476190476,33.57142857,98,497.6666667,20.92457421,high
9,thin,LD,high,pine,75.92313489,1.234567901,1.069518717,24.44444444,95,462.1111111,25.64612326,high
10,control,LD,med,pine,71.82634731,1.176470588,0.952380952,26,95,497.6666667,10.03039514,med
10,thin,LD,med,pine,90.16942062,3.636363636,0.930232558,26.42857143,100,485.3333333,8.305921053,med
11,control,LD,low,pine,33.05891433,0.869565217,0.308641975,14.28571429,95,473,10.0099108,low
11,thin,LD,low,pine,65.41643685,0.498753117,0.704225352,10.55555556,95,463.7777778,7.524271845,low
12,control,LD,high,pine,25.68259386,0.643086817,0.479616307,16.66666667,97,497.6666667,11.85185185,high
12,thin,LD,high,pine,40.43360434,0.775193798,0.586510264,8.5,85,358.7777778,11.07142857,high
1,control,ED,high,uo,9.71258672,0.336700337,0.187090739,12.17391304,82,141.3333333,14.30020284,
1,thin,ED,high,uo,6.790204582,0.687285223,0.454545455,17.75,97,388.2222222,8.840304183,
2,control,ED,med,uo,3.188507358,3.03030303,1.834862385,28.33333333,95,463.2222222,11.44230769,
2,thin,ED,med,uo,17.85451874,2.985074627,0.823045267,17,97,399,10.10215664,
3,control,ED,high,uo,2.777777778,0.858369099,0.473933649,27.72727273,90,392.7777778,11.20448179,
3,thin,ED,high,uo,10.1843174,0.389105058,0.393700787,13.6,80,250.2222222,8.839050132,
4,control,ED,low,uo,44.46935725,0.732600733,0.668896321,18,100,411.3333333,11.1332008,
4,thin,ED,low,uo,18.80733945,0.662251656,0.248756219,20.20833333,90,295.4444444,9.59651036,
5,control,ED,low,uo,74.5363766,0.563380282,0.481927711,21.53846154,100,379.875,7.418397626,
5,thin,ED,low,uo,61.38279933,0.754716981,0.778210117,19.58333333,97,394.3333333,7.352941176,
6,control,ED,low,uo,11.89336979,1.834862385,0.280504909,23.52941176,100,382,7.441471572,
6,thin,ED,low,uo,13.21679248,0.564971751,0.534759358,25.76923077,100,358.7777778,12.04379562,
7,control,ED,med,uo,0.255536627,0.404040404,0.34965035,13.42105263,85,270.4444444,11.45320197,
7,thin,ED,med,uo,0.643153527,1.015228426,0.896860987,28.33333333,100,375.8888889,11.9831815,
8,control,ED,med,uo,35.77392421,0,0,11.25,15,52.88888889,10.86036671,
8,thin,ED,med,uo,11.33828996,0,0,10,10,35.88888889,9.076433121,
9,control,ED,high,uo,3.207331042,0.689655172,0.449438202,17.63157895,95,371.2222222,10.06944444,
9,thin,ED,high,uo,3.760496532,2.941176471,0.555555556,24,100,394.3333333,7.793522267,
10,control,ED,med,uo,0.51786639,1.020408163,1.03626943,18.92857143,97,385.1111111,13.03258145,
10,thin,ED,med,uo,0.296600502,0.961538462,0.550964187,21.57894737,98,409.7777778,9.216589862,
11,control,ED,low,uo,16.97405439,0.921658986,0.477326969,25,98,349.6666667,9.261744966,
11,thin,ED,low,uo,43.5483871,0.641025641,0.746268657,20,95,295.1111111,7.380073801,
12,control,ED,high,uo,37.20723392,1.129943503,0.245700246,18.21428571,93,275.5555556,16.95906433,
12,thin,ED,high,uo,15.56217424,1.01010101,0.418410042,16.66666667,98,380.5555556,8.705882353,
1,control,LD,high,uo,4.024216524,0,0,5,10,21,18.19505095,
1,thin,LD,high,uo,1.91740413,0.24691358,0.353982301,10.83333333,90,253.7777778,19.05274489,
2,control,LD,med,uo,9.401402121,1.020408163,0.435729847,16.66666667,96,386.5555556,13.00813008,
2,thin,LD,med,uo,3.836317136,0.36036036,0.561797753,13.33333333,93,354,14.61897356,
3,control,LD,high,uo,0,0.975609756,0.377358491,19.16666667,95,497.6666667,11.26436782,
3,thin,LD,high,uo,9.346246973,0,0,5.833333333,10,22,19.09547739,
4,control,LD,low,uo,48.72286079,0.584795322,0.566572238,16,98,345,10.63189569,
4,thin,LD,low,uo,29.02479339,0.757575758,0.465116279,9,80,256.7777778,10.85141903,
5,control,LD,low,uo,11.41149687,1.398601399,2.06185567,22.5,99,443.6666667,7.903225806,
5,thin,LD,low,uo,29.29056924,3.225806452,1.351351351,30,99,497.6666667,9.485530547,
6,control,LD,low,uo,40.78452445,1.111111111,0.615384615,19.28571429,98,473,10.2189781,
6,thin,LD,low,uo,7.317695054,0.727272727,0.862068966,20,96,473,6.753812636,
7,control,LD,med,uo,2.375593898,0.445434298,0.437636761,18.33333333,90,363.4444444,9.498680739,
7,thin,LD,med,uo,0.525509087,0.420168067,1.526717557,21.25,100,497.6666667,7.974683544,
8,control,LD,med,uo,5.789909016,0.787401575,0.732600733,19.44444444,95,497.6666667,7.482993197,
8,thin,LD,med,uo,5.261899067,0.571428571,0.512820513,18.75,95,497.6666667,8.058608059,
9,control,LD,high,uo,4.83615222,1.904761905,0.476190476,33.57142857,98,497.6666667,20.92457421,
