Collection,Plot,Treatment,Source,Biomass_gm2
Post-thin,9,Thin,Herbaceous,10
Post-thin,10,Thin,Herbaceous,3
Post-thin,11,Thin,Herbaceous,2544
Post-thin,12,Thin,Herbaceous,404
Post-thin,1,Thin,Shrub,11.25
Post-thin,2,Thin,Shrub,4.5
Post-thin,3,Thin,Shrub,72
Post-thin,4,Thin,Shrub,18
Post-thin,5,Thin,Shrub,8.55
Post-thin,6,Thin,Shrub,5.4
Post-thin,7,Thin,Shrub,21.6
Post-thin,8,Thin,Shrub,15.3
Post-thin,9,Thin,Shrub,18
Post-thin,10,Thin,Shrub,0
Post-thin,11,Thin,Shrub,13.5
Post-thin,12,Thin,Shrub,10.8
Post-thin,1,Thin,Litter,1431.6575
Post-thin,2,Thin,Litter,1101.275
Post-thin,3,Thin,Litter,1211.4025
Post-thin,4,Thin,Litter,1431.6575
Post-thin,5,Thin,Litter,1872.1675
Post-thin,6,Thin,Litter,1651.9125
Post-thin,7,Thin,Litter,1321.53
Post-thin,8,Thin,Litter,1101.275
Post-thin,9,Thin,Litter,1541.785
Post-thin,10,Thin,Litter,1541.785
Post-thin,11,Thin,Litter,1321.53
Post-thin,12,Thin,Litter,1762.04
Post-thin,1,Thin,Duff,881.02
Post-thin,2,Thin,Duff,881.02
Post-thin,3,Thin,Duff,440.51
Post-thin,4,Thin,Duff,1101.275
Post-thin,5,Thin,Duff,1321.53
Post-thin,6,Thin,Duff,881.02
Post-thin,7,Thin,Duff,881.02
Post-thin,8,Thin,Duff,1101.275
Post-thin,9,Thin,Duff,660.765
Post-thin,10,Thin,Duff,660.765
Post-thin,11,Thin,Duff,440.51
Post-thin,12,Thin,Duff,1541.785
Post-thin,1,Thin,FWD,79.72263148
Post-thin,2,Thin,FWD,57.11482082
Post-thin,3,Thin,FWD,147.4304647
Post-thin,4,Thin,FWD,68.53747044
Post-thin,5,Thin,FWD,68.29998187
Post-thin,6,Thin,FWD,23.14215993
Post-thin,7,Thin,FWD,79.84137576
Post-thin,8,Thin,FWD,158.8531143
Post-thin,9,Thin,FWD,113.4578038
Post-thin,10,Thin,FWD,113.7546645
Post-thin,11,Thin,FWD,102.391387
Post-thin,12,Thin,FWD,56.99607654
Post-thin,1,Thin,CWD,924.5751771
Post-thin,2,Thin,CWD,1862.198794
Post-thin,3,Thin,CWD,1019.642383
Post-thin,4,Thin,CWD,945.0798685
Post-thin,5,Thin,CWD,902.2064229
Post-thin,6,Thin,CWD,2154.856663
Post-thin,7,Thin,CWD,452.9672744
Post-thin,8,Thin,CWD,1625.462811
Post-thin,9,Thin,CWD,1096.06896
Post-thin,10,Thin,CWD,1364.494011
Post-thin,11,Thin,CWD,1163.175223
Post-thin,12,Thin,CWD,676.6548171
Pre-thin,1,Thin,Herbaceous,1413.333334
Pre-thin,2,Thin,Herbaceous,198.7733333
Pre-thin,3,Thin,Herbaceous,160
Pre-thin,4,Thin,Herbaceous,1740
Pre-thin,5,Thin,Herbaceous,686
Pre-thin,6,Thin,Herbaceous,900
Pre-thin,7,Thin,Herbaceous,152
Pre-thin,8,Thin,Herbaceous,33.2
Pre-thin,9,Thin,Herbaceous,512.92
Pre-thin,10,Thin,Herbaceous,36
Pre-thin,11,Thin,Herbaceous,200
Pre-thin,12,Thin,Herbaceous,368
Pre-thin,1,Thin,Shrub,31.5
Pre-thin,2,Thin,Shrub,2.7
Pre-thin,3,Thin,Shrub,0
Pre-thin,4,Thin,Shrub,27
Pre-thin,5,Thin,Shrub,72
Pre-thin,6,Thin,Shrub,0
Pre-thin,7,Thin,Shrub,72
Pre-thin,8,Thin,Shrub,117
Pre-thin,9,Thin,Shrub,99
Pre-thin,10,Thin,Shrub,72
Pre-thin,11,Thin,Shrub,9
Pre-thin,12,Thin,Shrub,31.5
Pre-thin,1,Thin,Litter,1541.785
Pre-thin,2,Thin,Litter,881.02
Pre-thin,3,Thin,Litter,1321.53
Pre-thin,4,Thin,Litter,1321.53
Pre-thin,5,Thin,Litter,1101.275
Pre-thin,6,Thin,Litter,1762.04
Pre-thin,7,Thin,Litter,1762.04
Pre-thin,8,Thin,Litter,1101.275
Pre-thin,9,Thin,Litter,1762.04
Pre-thin,10,Thin,Litter,1762.04
Pre-thin,11,Thin,Litter,1321.53
Pre-thin,12,Thin,Litter,1101.275
Pre-thin,1,Thin,Duff,1321.53
Pre-thin,2,Thin,Duff,881.02
Pre-thin,3,Thin,Duff,1321.53
Pre-thin,4,Thin,Duff,881.02
Pre-thin,5,Thin,Duff,1321.53
Pre-thin,6,Thin,Duff,881.02
Pre-thin,7,Thin,Duff,881.02
Pre-thin,8,Thin,Duff,1321.53
Pre-thin,9,Thin,Duff,1321.53
Pre-thin,10,Thin,Duff,1321.53
Pre-thin,11,Thin,Duff,1762.04
Pre-thin,12,Thin,Duff,1321.53
Pre-thin,1,Thin,FWD,125.117942
Pre-thin,2,Thin,FWD,283.7335677
Pre-thin,3,Thin,FWD,249.1687582
Pre-thin,4,Thin,FWD,79.84137576
Pre-thin,5,Thin,FWD,158.9124865
Pre-thin,6,Thin,FWD,204.307797
Pre-thin,7,Thin,FWD,192.8835746
Pre-thin,8,Thin,FWD,170.6319968
Pre-thin,9,Thin,FWD,170.1570196
Pre-thin,10,Thin,FWD,237.8648529
Pre-thin,11,Thin,FWD,226.8562355
Pre-thin,12,Thin,FWD,260.8288964
Pre-thin,1,Thin,CWD,2952.867878
Pre-thin,2,Thin,CWD,721.1700806
Pre-thin,3,Thin,CWD,1900.005789
Pre-thin,4,Thin,CWD,443.7969727
Pre-thin,5,Thin,CWD,1251.646149
Pre-thin,6,Thin,CWD,0
Pre-thin,7,Thin,CWD,1349.882458
Pre-thin,8,Thin,CWD,1678.107303
Pre-thin,9,Thin,CWD,1858.399823
Pre-thin,10,Thin,CWD,419.5268256
Pre-thin,11,Thin,CWD,1085.222285
Pre-thin,12,Thin,CWD,221.8984863
