collection,Plot,Treatment,Burn_Szn,canopy_trt,litter_type,litter_pct
1/17/2022,2,thin,Control,med,pine,52.26851852
1/17/2022,2,thin,ED,med,pine,68.33210874
1/17/2022,2,thin,GS,med,pine,31.82917002
1/17/2022,2,thin,LD,med,pine,46.72206833
1/17/2022,3,control,Control,high,pine,45.08928571
1/17/2022,3,control,ED,high,pine,63.26058201
1/17/2022,3,control,GS,high,pine,65.02040816
1/17/2022,3,control,LD,high,pine,52.92726198
1/17/2022,3,thin,Control,high,pine,43.25249643
1/17/2022,3,thin,ED,high,pine,39.33145892
1/17/2022,3,thin,GS,high,pine,54.11460577
1/17/2022,3,thin,LD,high,pine,48.80597015
1/17/2022,4,control,Control,low,pine,25.99033816
1/17/2022,4,control,ED,low,pine,27.57847534
1/17/2022,4,control,GS,low,pine,14.62412376
1/17/2022,4,control,LD,low,pine,45.40145985
1/17/2022,4,thin,Control,low,pine,53.31759769
1/17/2022,4,thin,ED,low,pine,41.74311927
1/17/2022,4,thin,GS,low,pine,29.66218072
1/17/2022,4,thin,LD,low,pine,38.85578069
1/17/2022,5,control,Control,low,pine,29.29472663
1/17/2022,5,control,ED,low,pine,15.40656205
1/17/2022,5,control,GS,low,pine,33.03769401
1/17/2022,5,control,LD,low,pine,25.19920319
1/17/2022,5,thin,Control,low,pine,42.4189958
1/17/2022,5,thin,ED,low,pine,22.3608769
1/17/2022,5,thin,GS,low,pine,26.25180897
1/17/2022,5,thin,LD,low,pine,41.86320755
1/17/2022,6,control,Control,low,pine,27.21194562
1/17/2022,6,control,ED,low,pine,45.215311
1/17/2022,6,control,GS,low,pine,27.35163031
1/17/2022,6,control,LD,low,pine,35.23851396
1/17/2022,6,thin,Control,low,pine,34.08618899
1/17/2022,6,thin,ED,low,pine,68.86505099
1/17/2022,6,thin,GS,low,pine,62.03568295
1/17/2022,6,thin,LD,low,pine,79.8757764
1/17/2022,7,control,Control,med,pine,64.07949006
1/17/2022,7,control,ED,med,pine,27.32112436
1/17/2022,7,control,GS,med,pine,49.41730722
1/17/2022,7,control,LD,med,pine,46.43521389
1/17/2022,7,thin,Control,med,pine,66.51445967
1/17/2022,7,thin,ED,med,pine,79.39834025
1/17/2022,7,thin,GS,med,pine,73.69942197
1/17/2022,7,thin,LD,med,pine,83.23480728
1/17/2022,8,control,Control,med,pine,54.67275495
1/17/2022,8,control,ED,med,pine,17.30892742
1/17/2022,8,control,GS,med,pine,67.42840613
