Plot,Treatment,Burn_Szn,canopy_trt,pine,uo,meso,frs1_cms,frs2_cms,avg_fh,consump,avg_max_temp,fuel_moist,meso_os
1,Control,ED,high,41.62537165510407,9.712586719524282,48.66204162537166,0.336700337,0.187090739,12.17391304,82,141.3333333,14.30020284,high
1,Control,GS,high,64.96551724137932,7.241379310344828,27.793103448275865,0.115207373,0,5.2,5,22.3,22.02166065,high
1,Control,LD,high,26.95868945868946,4.024216524216524,69.01709401709402,0,0,5,10,21,18.19505095,high
1,Thin,ED,high,80.08060629955754,6.7902045822928985,13.12918911814956,0.687285223,0.454545455,17.75,97,388.2222222,8.840304183,high
1,Thin,GS,high,76.39524245196706,5.580969807868252,18.023787740164682,0.209770115,0,10.83333333,5,21.2,18.66666667,high
1,Thin,LD,high,75.29498525073747,1.9174041297935103,22.787610619469024,0.24691358,0.353982301,10.83333333,90,253.7777778,19.05274489,high
2,Control,ED,med,92.8521373510862,3.1885073580939034,3.9593552908199023,3.03030303,1.834862385,28.33333333,95,463.2222222,11.44230769,med
2,Control,GS,med,21.44835773644638,35.21962801741195,43.332014246141675,0.221238938,0,4.2,10,22.6,15.90909091,med
2,Control,LD,med,57.14542513032536,9.40140212115765,33.453172748516984,1.020408163,0.435729847,16.66666667,96,386.5555556,13.00813008,med
2,Thin,ED,med,68.33210874357091,17.85451873622337,13.813372520205732,2.985074627,0.823045267,17,97,399,10.10215664,med
2,Thin,GS,med,46.239554317548745,5.3937705748290705,48.36667510762218,0.14484127,0,9.375,5,22.8,9.120521173,med
2,Thin,LD,med,87.49644785450413,3.836317135549873,8.667235009946008,0.36036036,0.561797753,13.33333333,93,354,14.61897356,med
3,Control,ED,high,63.26058201058201,2.777777777777778,33.961640211640216,0.858369099,0.473933649,27.72727273,90,392.7777778,11.204481790000001,high
3,Control,GS,high,66.12444082960553,0,33.87555917039447,0.161637931,0,6,15,44.31111111,12.82283643,high
3,Control,LD,high,60.777266090081994,0,39.222733909918006,0.975609756,0.377358491,19.16666667,95,497.6666667,11.26436782,high
3,Thin,ED,high,39.33145891908779,10.184317400812246,50.48422368009997,0.389105058,0.393700787,13.6,80,250.2222222,8.839050132,high
3,Thin,GS,high,39.940239043824704,3.386454183266933,56.673306772908376,0.206239168,0,9,7,22.4,15.61371841,high
3,Thin,LD,high,20.290556900726394,9.346246973365618,70.363196125908,0,0,5.833333333,10,22,19.09547739,high
4,Control,ED,low,27.578475336322867,44.469357249626306,27.95216741405082,0.732600733,0.668896321,18,100,411.3333333,11.1332008,low
4,Control,GS,low,14.820435002529086,58.67475973697521,26.5048052604957,0.200729927,0,5.4,5,22.6,18.04511278,low
4,Control,LD,low,21.871008939974455,48.72286079182631,29.406130268199234,0.584795322,0.566572238,16,98,345,10.63189569,low
4,Thin,ED,low,41.74311926605505,18.80733944954128,39.44954128440367,0.662251656,0.248756219,20.20833333,90,295.4444444,9.59651036,low
4,Thin,GS,low,44.498777506112475,40.46454767726161,15.036674816625915,0.335526316,0,9.375,10,70.64444444,14.95327103,low
4,Thin,LD,low,48.396694214876035,29.02479338842975,22.578512396694215,0.757575758,0.465116279,9,80,256.7777778,10.85141903,low
5,Control,ED,low,15.406562054208276,74.5363766048502,10.057061340941512,0.563380282,0.481927711,21.53846154,100,379.875,7.418397626,low
5,Control,GS,low,39.254738194667524,31.031159653067782,29.714102152264694,0.421052632,0,7.916666667,40,64.33333333,14.28571429,low
5,Control,LD,low,35.42970973249858,11.4114968696642,53.15879339783722,1.398601399,2.06185567,22.5,99,443.6666667,7.903225806,low
5,Thin,ED,low,22.360876897133224,61.38279932546374,16.256323777403036,0.754716981,0.778210117,19.58333333,97,394.3333333,7.352941176,low
5,Thin,GS,low,37.0849609375,57.373046875,5.5419921875,0.275510204,0,16.42857143,5,22.9,17.57322176,low
5,Thin,LD,low,61.12999150382329,29.29056924384027,9.57943925233645,3.225806452,1.351351351,30,99,497.6666667,9.485530547,low
