Site,Plot,Little_type,Pct_wt,Load_wt,BA_m2ha,BA_ft2a,Pine_m2ha,Pine_ft2a,Pine_pctBAft2a
Talladega,85,Pinus,51.33075097,228.1994,31.28468002,136.2720348,22.56380977,98.28504781,72.12415075
Talladega,86,Pinus,44.2099004,165.2057,32.82234882,142.969922,15.91276633,69.3139596,48.48149781
Talladega,87,Pinus,42.32434232,211.81215,36.71738828,159.936212,27.28336421,118.8428188,74.30638585
Talladega,88,Pinus,36.41533038,177.8711,33.81431307,147.2907904,21.37734197,93.11694693,63.21980259
Talladega,89,Pinus,83.7229344,431.7346,32.99973482,143.7425925,28.66965327,124.8813153,86.87843535
Talladega,91,Pinus,7.767784137,31.6635,42.77634288,186.3282374,15.32995433,66.77530567,35.83745899
Talladega,92,Pinus,19.14578447,86.15805,55.37975406,241.2270725,24.41627079,106.3541293,44.08880322
Talladega,93,Pinus,25.09616505,119.59915,42.97950225,187.2131735,26.24059071,114.3006318,61.05373338
Talladega,94,Pinus,68.69348301,244.7533,28.73381499,125.1607955,20.2332993,88.13364451,70.41633457
Talladega,95,Pinus,44.88086813,211.36775,27.61484702,120.2867152,21.81933199,95.0421985,79.01304674
Talladega,96,Pinus,56.45188425,372.79605,39.34708722,171.3908417,30.66697306,133.5813829,77.9396271
Talladega,97,Pinus,42.97668858,159.7618,39.11679594,170.3877226,27.3383267,119.0822283,69.88897233
Talladega,98,Pinus,73.72190885,457.3987,41.55358275,181.0020519,27.90095473,121.5329635,67.14452252
Talladega,99,Pinus,41.2126443,212.201,74.24077663,323.3832564,32.42616087,141.2441783,43.6770227
Talladega,100,Pinus,31.06445313,176.70455,34.65955542,150.9725572,21.46335671,93.49161607,61.92623203
Talladega,101,Pinus,25.76331361,120.93235,34.89182628,151.9842991,19.18862385,83.58317285,54.9946102
Talladega,102,Pinus,61.7896133,336.4108,27.65137224,120.4458143,18.60984865,81.06210268,67.30171833
Tuskegee,1,Pinus,54.84107579,373.79595,51.9558161,226.3128399,24.84300639,108.2129346,47.8156408
Tuskegee,2,Pinus,36.13367371,172.9827,38.37685955,167.164655,29.06312414,126.5952237,75.73085572
Tuskegee,2.2,Pinus,38.79965135,173.0938,29.85080338,130.026253,24.93748288,108.624462,83.5404078
Tuskegee,3,Pinus,44.16435826,265.69565,39.2672053,171.0428863,26.31107933,114.6076711,67.00522517
Tuskegee,3.2,Pinus,59.23348567,316.80165,36.54594103,159.1894098,25.22277546,109.8671597,69.01662607
Tuskegee,6,Pinus,42.8659885,269.1953,42.7700548,186.3008474,16.38138365,71.35519629,38.30105836
Tuskegee,7,Pinus,66.9820246,353.9646,31.20677768,135.9327023,27.02601866,117.7218547,86.60304158
Tuskegee,7.2,Pinus,70.79107505,426.5129,59.30708787,258.3340325,39.68870083,172.8788665,66.92067043
Tuskegee,8,Pinus,52.18338109,252.91915,51.06290854,222.4234497,32.378845,141.0380765,63.40971543
Tuskegee,9,Pinus,47.7568318,181.5374,61.47585492,267.7809023,31.8433877,138.7056935,51.7982023
Tuskegee,12,Pinus,51.47069774,383.9616,27.03436395,117.7582057,15.4499713,67.29808409,57.14937969
Tuskegee,17,Pinus,53.11540149,268.9731,45.34098734,197.4994983,33.70376704,146.8092662,74.3339945
Tuskegee,34,Pinus,45.62923138,254.58565,43.36295877,188.8834607,30.62016178,133.377479,70.61363579
Tuskegee,35,Pinus,37.59898905,247.91965,36.30955574,158.159746,24.90546024,108.4849755,68.59202689
Tuskegee,36,Pinus,47.12764362,174.5381,60.82954107,264.9656424,18.67614521,81.35088196,30.70242663
Tuskegee,37,Pinus,70.21160161,427.6239,38.45759541,167.51633,23.81071303,103.7163977,61.91420126
Tuskegee,38,Pinus,36.29293584,155.54,40.150836,174.8918678,14.58559299,63.53296359,36.32699701
Tuskegee,39,Pinus,72.30936293,332.91115,35.86174343,156.2091332,24.53601605,106.8757242,68.41835814
Tuskegee,40,Pinus,71.94651891,331.80015,48.89930393,212.9990668,34.78578283,151.5223875,71.1375828
Tuskegee,41,Pinus,69.91405849,605.55055,36.53732403,159.1518753,33.74941386,147.0080978,92.36969249
Tuskegee,42,Pinus,65.75929252,264.36245,37.92889197,165.2133659,28.81059169,125.4952249,75.95948682
Tuskegee,43,Pinus,49.21837422,227.36615,15.74877161,68.59961975,7.508745515,32.70712789,47.67829328
Tuskegee,44,Pinus,38.25123153,172.5383,33.58002381,146.2702566,14.41868713,62.80594315,42.93828739
Tuskegee,45,Pinus,47.25450474,246.1976,28.74965164,125.2297779,12.47256475,54.32888483,43.38335957
Tuskegee,47,Pinus,52.55446058,225.14415,30.89897221,134.5919413,11.83657577,51.5585988,38.30734463
Tuskegee,48,Pinus,28.66979656,101.7676,29.22145182,127.2848787,10.77035782,46.91429079,36.85770947
Tuskegee,49,Pinus,77.82989368,414.79185,50.37215115,219.4145995,36.91554048,160.7993374,73.28561443
Tuskegee,50,Pinus,76.53576265,345.35435,60.3770321,262.9945717,37.90067323,165.0904487,62.77332936
Tuskegee,51,Pinus,74.77044163,284.9715,54.66007926,238.0922618,44.60124503,194.277276,81.59747592
CR,103,Upland oak,8.333333333,34.6632,35.74192054,155.6872002,29.55933916,128.7566724,82.70215678
CR,104,Upland oak,31.63857047,130.3203,29.56523909,128.7823717,16.82418879,73.28399842,56.90530268
CR,105,Upland oak,18.14044213,92.9907,42.99401918,187.2764074,20.70909746,90.20615998,48.16739131
CR,106,Upland oak,16.95190641,86.93575,26.18927686,114.0771153,20.15881271,87.8091905,76.97353695
