Site,Plot,group,Avg_CC,Avg_Shrub_Live,Avg_Shrub_Dead,Avg_Shrub_Ht,Avg_Herb_Live,Avg_Herb_Dead,Avg_Herb_Ht,Avg_Cones_m2,Avg_Acorns_m2,Avg_Balls_m2,Aspect,Slope,Avg_Depth_cm,Avg_Duff_cm,FWD_Mgha,CWD_Mgha,Pine_Seedlings100m2,UO_Seedlings100m2,Meso_Seedlings100m2,Pine_Saplings100m2,UO_Saplings100m2,Meso_Saplings100m2,Pine_litter_pct,UO_litter_pct,SG_litter_pct,WO_litter_pct,Meso_litter_pct,"Other_litter_pct_(summed SG, WO, Meso)",Avg_Pine_load_gm2,Avg_UO_load_gm2,Avg_SG_load_gm2,Avg_WO_load_gm2,Avg_Meso_load_gm2,"Other_litter_pct_(summed SG, WO, Meso)_gm2",Avg_Total_load,BA_m2ha,BA_ft2a,PineBA_m2ha,PineBA_ft2a,Pine_pctBAft2a,Pine_iv,UO_iv,Meso_iv
Tuskegee,12,30 - 70% Pine,89.6,56.66666667,0,106.6666667,6.666666667,0,15,2.666666667,1.333333333,0,N,10.9,2.5,0.25,0.687733862,0,0,88.49557522,353.9823009,0,0,83.33333333,51.47069774,43.63690521,0.34998883,0.618065381,3.92434284,4.892397051,383.9616,325.523,2.61085,4.61065,29.27485,36.49635,745.98095,27.03436395,117.7582057,15.4499713,67.29808409,57.14937967,157.1493797,142.8506203,0
Tuskegee,17,>70% Pine,87.17333333,2,0,26.66666667,3.333333333,0,5,1,0.333333333,0,N/A,0,3,0.375,2.272718405,0,0,0,442.4778761,0,0,55.55555556,53.11540149,0,8.194383502,28.72970601,9.960508995,46.88459851,268.9731,0,41.49585,145.48545,50.4394,237.4207,506.3938,45.34098734,197.4994983,33.70376704,146.8092662,74.33399451,180.5839945,0,119.4160055
Kreher,19,30 - 70% Pine,95.49333333,18.33333333,0,45,0,0,0,8,0.666666667,0,E,4.6,3.5,0.875,2.952171623,10.5401781,0,0,1592.920354,0,0,472.2222222,43.93865864,13.20003882,21.95477046,8.143259245,12.76327283,42.86130253,251.47485,75.548,125.6541,46.60645,73.04825,245.3088,572.33165,67.60785994,294.491126,27.78474167,121.0267544,41.09691046,107.7635771,61.64899863,130.5874242
Kreher,20,30 - 70% Pine,90.64,28.33333333,0,23.33333333,1.666666667,0,1.666666667,1,0,0.666666667,SE,4.9,4,1.125,7.278654982,15.10142476,0,0,0,0,0,0,78.13431353,0.784820187,12.35843433,2.563083648,6.159348301,21.08086628,436.90075,4.38845,69.1042,14.3319,34.441,117.8771,559.1663,58.52973351,254.9479771,40.48224118,176.335426,69.16525798,144.165258,0,155.834742
Kreher,21,30 - 70% Pine,93.41333333,30,0,16.66666667,13.33333333,0,16.66666667,4,0,1,SW,6.9,4.75,1.5,2.273905847,3.020284953,0,0,0,0,0,361.1111111,62.70560296,0.923564078,16.71211188,14.56592488,5.0927962,36.37083297,396.01595,5.83275,105.545,91.9908,32.16345,229.69925,631.54795,47.37855861,206.3748961,29.04406582,126.5122081,61.30213048,148.1442358,0,151.8557642
Kreher,22,30 - 70% Pine,90.64,9,0,15,20,0,8.333333333,1,0,0.333333333,SE,9.6,3.5,0.5,1.370749409,13.86865539,0,176.9911504,265.4867257,0,27.77777778,361.1111111,57.17420917,0.423792947,25.27622219,15.43817164,1.687604056,42.40199788,419.68025,3.1108,185.537,113.322,12.38765,311.24665,734.0377,39.68346076,172.8560415,15.59032748,67.90945756,39.28671337,109.2867134,0,190.7132866
Kreher,23,30 - 70% Pine,96.53333333,13.33333333,0,30,3.333333333,0,3.333333333,4.333333333,0,0,S,12.3,3.5,0.75,2.273874392,11.83458593,0,0,88.49557522,0,0,388.8888889,31.63723017,19.65236894,13.38659938,5.060274741,30.26352677,48.7104009,125.37635,77.8811,53.05025,20.05355,119.93245,193.03625,396.2937,51.2384314,223.1880046,23.27478994,101.3819858,45.42447788,92.09114455,66.63701643,141.271839
MOT,24,30 - 70% Pine,96.53333333,13.33333333,0,60,3.333333333,0,3.333333333,4.333333333,0,0,SW,1.1,3,0.75,2.273874392,11.83458593,5221.238938,0,884.9557522,0,0,0,63.27872168,0.414644013,8.394012945,12.45954693,15.45307443,36.3066343,347.57635,2.27755,46.1065,68.4376,84.8804,199.4245,549.2784,47.33236839,206.1736975,30.28984343,131.9386549,63.99393157,147.3272649,0,152.6727351
MOT,25,>70% Pine,93.41333333,11.66666667,0,20,13.33333333,0,6.666666667,5.333333333,0,0,SE,2.7,2.5,0.25,3.403108937,0,1858.40708,0,442.4778761,0,0,27.77777778,78.19353759,0.401808137,2.569897874,11.40967688,7.425079525,21.40465428,518.89255,2.6664,17.05385,75.71465,49.27285,142.04135,663.6003,42.44439429,184.8823121,33.15220138,144.4067172,78.10737305,174.2612192,0,125.7387808
MOT,26,30 - 70% Pine,95.49333333,8.333333333,0,13.33333333,16.66666667,0,16.66666667,1,0,0,SE,3.8,2.25,0.25,2.730811832,0,3716.814159,0,707.9646018,0,0,111.1111111,66.37082771,0,5.961798186,17.76963149,9.89774262,33.62917229,382.184,0,34.3299,102.3231,56.9943,193.6473,575.8313,30.13563018,131.2669218,17.52837628,76.35134838,58.16495682,114.8316235,0,185.1683765
