Site,Plot,group,Little_type,Pct_wt,Load_wt,BA_m2ha,BA_ft2a,Pine_m2ha,Pine_ft2a,Pine_pctBAft2a,pine_iv,uo_iv,meso_iv
Tuskegee,48,Mixed,Mesophyte,53.99061033,191.6475,29.22145182,127.2848787,10.77035782,46.91429079,36.85770947,120.1910428,0,179.8089572
Tuskegee,49,Pine,Mesophyte,22.17010632,118.15485,50.37215115,219.4145995,36.91554048,160.7993374,73.28561443,166.1427573,0,133.8572427
Tuskegee,50,Mixed,Mesophyte,23.46423735,105.8783,60.3770321,262.9945717,37.90067323,165.0904487,62.77332936,136.5828532,0,163.4171468
Tuskegee,51,Pine,Mesophyte,25.22955838,96.15705,54.66007926,238.0922618,44.60124503,194.277276,81.59747592,167.9611123,0,132.0388877
MOT,52,Mixed,Mesophyte,24.72402313,78.38105,26.66546317,116.1513215,9.34816459,40.71940035,35.05719937,96.96196128,91.27678213,111.7612566
MOT,53,Mixed,Mesophyte,23.20596458,124.48755,31.79851719,138.5102433,16.75699948,72.99133043,52.69742417,116.7999883,68.93703356,114.2629782
MOT,54,Mixed,Mesophyte,28.03010182,175.8713,38.75845293,168.8268266,25.435988,110.795886,65.62694344,167.8008565,0,132.1991435
MOT,55,Mixed,Mesophyte,33.25095253,179.37095,51.18172223,222.9409868,22.86202786,99.58404735,44.6683442,104.0886341,54.72493338,141.1864326
MOT,56,Mixed,Mesophyte,26.9091757,128.2094,28.45512101,123.9468404,13.58629265,59.18014005,47.74638858,113.131004,0,186.868996
MOT,57,Mixed,Mesophyte,38.9865141,211.9788,38.90657218,169.4720149,19.38964838,84.4588098,49.83643456,94.93447376,75.0303331,130.0351931
MOT,58,Hardwood,Mesophyte,16.57007688,77.82555,33.85836845,147.48269,9.703829343,42.26863019,28.66006186,71.9933952,97.4194786,130.5871262
MOT,59,Mixed,Mesophyte,34.00542389,160.2062,46.87547329,204.1835213,29.84307913,129.9926071,63.66459265,127.950307,0,172.049693
MOT,60,Mixed,Mesophyte,11.87876937,86.4358,51.73565562,225.3538492,37.06218475,161.4381009,71.63760525,174.2691842,0,125.7308158
Talladega,61,Mixed,Mesophyte,32.8323095,139.5416,22.67703405,98.77823818,12.23175452,53.2799465,53.93895202,127.4683638,0,172.5316362
Talladega,62,Mixed,Mesophyte,28.05488067,109.04465,43.82435645,190.8932495,30.20394514,131.5644929,68.92045331,166.2888744,0,133.7111256
Talladega,63,Mixed,Mesophyte,28.08667699,131.04245,45.41042795,197.8019726,31.85837041,138.7709562,70.15650773,163.0136506,0,136.9863494
Talladega,64,Mixed,Mesophyte,15.94711279,65.6601,30.77736382,134.0622308,21.73622839,94.68020995,70.62407464,143.957408,62.56581387,93.47677818
Talladega,65,Pine,Mesophyte,19.21111004,110.6556,72.82164981,317.2017228,53.57911149,233.3837055,73.57580011,168.5758001,0,131.4241999
Talladega,66,Hardwood,Mesophyte,25.33374252,91.71305,58.45936134,254.641445,12.34699719,53.78192875,21.12065016,77.78731683,0,222.2126832
Talladega,67,Hardwood,Mesophyte,33.599107,117.04385,41.97379738,182.8324527,10.49566182,45.71775041,25.00527107,67.42951351,96.24296026,136.3275262
Talladega,68,Hardwood,Mesophyte,11.67025327,39.16275,36.51353024,159.0482326,5.321774088,23.18096217,14.57480023,67.90813356,167.9447659,64.14710055
Talladega,69,Hardwood,Mesophyte,0.771659067,3.6663,51.80692054,225.6642701,13.32192152,58.02857349,25.71455971,99.04789306,146.5218254,54.43028149
Talladega,70,Pine,Mesophyte,6.04567846,37.49625,28.20417999,122.8537736,27.32912747,119.0421576,96.89743678,196.8974368,51.72633752,51.3762257
Talladega,72,Pine,Mesophyte,3.784084585,15.1096,23.97579457,104.4354716,22.2225455,96.79854462,92.68742041,206.0207537,48.57869143,45.40055486
Talladega,74,Mixed,Mesophyte,39.17539989,157.81755,21.4714303,93.52678357,10.1443832,44.187626,47.24595919,110.5792925,93.71265683,95.70805064
Talladega,75,Hardwood,Mesophyte,41.45951704,129.70925,18.45753735,80.39865426,3.851449866,16.77641932,20.86654245,63.29078487,77.08846406,159.6207511
Talladega,76,Mixed,Mesophyte,32.26431718,101.71205,25.30758693,110.2365875,13.53338737,58.94969148,53.47561351,124.3089468,93.30097137,82.3900818
Talladega,77,Mixed,Mesophyte,30.92796719,134.04215,37.10977233,161.6453863,16.88951497,73.56855084,45.51231094,108.8456443,77.55273379,113.6016219
Talladega,78,Hardwood,Mesophyte,19.35098207,62.93815,47.69393307,207.7486266,9.395790984,40.92685479,19.70018067,73.03351401,125.3215489,101.6449371
Talladega,79,Mixed,Mesophyte,11.11111111,52.217,40.34898819,175.7549932,25.124301,109.4382176,62.26748703,141.0553658,46.50654258,112.4380916
Talladega,80,Mixed,Mesophyte,9.821622797,50.16165,48.68182171,212.0517423,26.81272849,116.7927902,55.07749615,115.6835568,103.5271439,80.78929933
Talladega,81,Mixed,Mesophyte,8.999158957,59.4385,39.32026584,171.2740112,17.23186607,75.05978811,43.82438852,102.1577219,118.2584796,79.58379853
Talladega,82,Mixed,Mesophyte,23.71416815,96.04595,35.05248288,152.6840986,21.60969046,94.12902701,61.64952858,134.9828619,52.32777223,112.6893658
Talladega,83,Mixed,Mesophyte,15.32449881,50.1061,21.64571107,94.28592817,10.97697175,47.81427447,50.71199425,163.2119942,136.7880058,0
Talladega,84,Mixed,Mesophyte,26.37049694,102.8786,30.97322591,134.9153809,12.75851719,55.57445682,41.19208384,107.8587505,70.45405557,121.6871939
Talladega,85,Pine,Mesophyte,2.461576909,10.94335,31.28468002,136.2720348,22.56380977,98.28504781,72.12415075,207.8384364,92.16156355,0
Talladega,86,Mixed,Mesophyte,11.23829344,41.9958,32.82234882,142.969922,15.91276633,69.3139596,48.48149781,145.4511948,106.2436707,48.30513452
Talladega,87,Pine,Mesophyte,15.55111555,77.82555,36.71738828,159.936212,27.28336421,118.8428188,74.30638585,210.0206716,89.97932844,0
Talladega,88,Mixed,Mesophyte,0.659615604,3.2219,33.81431307,147.2907904,21.37734197,93.11694693,63.21980259,153.2198026,146.7801974,0
Talladega,89,Pine,Mesophyte,4.890660347,25.2197,32.99973482,143.7425925,28.66965327,124.8813153,86.87843535,211.8784353,88.12156467,0
Talladega,91,Mixed,Mesophyte,15.30389752,62.38265,42.77634288,186.3282374,15.32995433,66.77530567,35.83745899,99.17079231,144.6646002,56.16460747
Talladega,92,Mixed,Mesophyte,5.011726947,22.5533,55.37975406,241.2270725,24.41627079,106.3541293,44.08880322,104.0888032,145.8540973,50.05709947
Talladega,93,Mixed,Mesophyte,5.793215993,27.60835,42.97950225,187.2131735,26.24059071,114.3006318,61.05373338,186.0537334,113.9462666,0
Talladega,94,Mixed,Mesophyte,6.828811974,24.3309,28.73381499,125.1607955,20.2332993,88.13364451,70.41633457,153.7496679,85.17320257,61.07712952
Talladega,95,Pine,Mesophyte,9.447983015,44.49555,27.61484702,120.2867152,21.81933199,95.0421985,79.01304674,157.5844753,0,142.4155247
Talladega,96,Pine,Mesophyte,5.349932705,35.3298,39.34708722,171.3908417,30.66697306,133.5813829,77.9396271,151.2729604,102.509125,46.21791457
Talladega,97,Mixed,Mesophyte,11.4614465,42.60685,39.11679594,170.3877226,27.3383267,119.0822283,69.88897233,133.2223057,110.816571,55.96112329
Talladega,98,Mixed,Mesophyte,21.95362163,136.2086,41.55358275,181.0020519,27.90095473,121.5329635,67.14452252,145.7159511,0,154.2840489
Talladega,99,Mixed,Mesophyte,41.61182436,214.25635,74.24077663,323.3832564,32.42616087,141.2441783,43.6770227,104.7881338,0,195.2118662
Talladega,100,Mixed,Mesophyte,20.1171875,114.433,34.65955542,150.9725572,21.46335671,93.49161607,61.92623203,152.4024225,97.14730476,50.45027274
Talladega,101,Mixed,Mesophyte,36.75739645,172.5383,34.89182628,151.9842991,19.18862385,83.58317285,54.9946102,148.3279435,60.86650373,90.80555275
Talladega,102,Mixed,Mesophyte,9.243954699,50.3283,27.65137224,120.4458143,18.60984865,81.06210268,67.30171833,157.7779088,75.5416679,66.68042331
CR,103,Pine,Mesophyte,28.1517094,117.0994,35.74192054,155.6872002,29.55933916,128.7566724,82.70215678,178.1567022,0,121.8432978
CR,104,Mixed,Mesophyte,13.27039784,54.6612,29.56523909,128.7823717,16.82418879,73.28399842,56.90530268,123.5719694,86.81103861,89.61699204
CR,105,Mixed,Mesophyte,23.52622453,120.59905,42.99401918,187.2764074,20.70909746,90.20615998,48.16739131,106.5007247,74.2937037,119.2055716
CR,106,Pine,Mesophyte,12.85745234,65.93785,26.18927686,114.0771153,20.15881271,87.8091905,76.97353695,180.3068703,74.33093973,45.36218996
CR,107,Pine,Mesophyte,1.291989664,11.38775,34.59034771,150.6710973,30.69569639,133.7064981,88.74064137,192.66221,59.61292623,47.72486382
Tuskegee,1,Mixed,Pinus,54.84107579,373.79595,51.9558161,226.3128399,24.84300639,108.2129346,47.8156408,102.8881045,45.71857933,151.3933161
Tuskegee,2,Pine,Pinus,36.13367371,172.9827,38.37685955,167.164655,29.06312414,126.5952237,75.73085572,161.4451415,0,138.5548585
Tuskegee,2.2,Pine,Pinus,38.79965135,173.0938,29.85080338,130.026253,24.93748288,108.624462,83.5404078,166.8737411,0,133.1262589
Tuskegee,3,Mixed,Pinus,44.16435826,265.69565,39.2672053,171.0428863,26.31107933,114.6076711,67.00522517,157.0052252,0,142.9947748
Tuskegee,3.2,Mixed,Pinus,59.23348567,316.80165,36.54594103,159.1894098,25.22277546,109.8671597,69.01662607,152.3499594,0,147.6500406
Tuskegee,6,Mixed,Pinus,42.8659885,269.1953,42.7700548,186.3008474,16.38138365,71.35519629,38.30105836,98.90711897,84.64802139,116.4448596
Tuskegee,7,Pine,Pinus,66.9820246,353.9646,31.20677768,135.9327023,27.02601866,117.7218547,86.60304158,176.6030416,0,123.3969584
Tuskegee,7.2,Mixed,Pinus,70.79107505,426.5129,59.30708787,258.3340325,39.68870083,172.8788665,66.92067043,140.4500822,0,159.5499178
Tuskegee,8,Mixed,Pinus,52.18338109,252.91915,51.06290854,222.4234497,32.378845,141.0380765,63.40971543,168.965271,0,131.034729
Tuskegee,9,Mixed,Pinus,47.7568318,181.5374,61.47585492,267.7809023,31.8433877,138.7056935,51.7982023,115.1315356,93.28678717,91.58167719
Tuskegee,12,Mixed,Pinus,51.47069774,383.9616,27.03436395,117.7582057,15.4499713,67.29808409,57.14937969,157.1493797,142.8506203,0
Tuskegee,17,Pine,Pinus,53.11540149,268.9731,45.34098734,197.4994983,33.70376704,146.8092662,74.3339945,180.5839945,0,119.4160055
Kreher,19,Mixed,Pinus,43.93865864,251.47485,67.60785994,294.491126,27.78474167,121.0267544,41.09691047,107.7635771,61.64899863,130.5874242
Kreher,20,Mixed,Pinus,78.13431353,436.90075,58.52973351,254.9479771,40.48224118,176.335426,69.16525795,144.165258,0,155.834742
