stem_id,plot,date,location,species,dbh,canopy,genus_species,common_name,functional_group,treatment_number,thin_lvl,burn_szn,notes
2184,12,###############################################################################################################################################################################################################################################################,1,LIST,1,S,Liquidambar styraciflua,sweetgum,mesophyte,1,control,NA,NA
2185,12,###############################################################################################################################################################################################################################################################,1,LIST,1,S,Liquidambar styraciflua,sweetgum,mesophyte,1,control,NA,NA
2186,12,###############################################################################################################################################################################################################################################################,1,QUNI,42.1,C,Quercus nigra,water oak,mesophyte,1,control,NA,NA
2187,12,###############################################################################################################################################################################################################################################################,1,ULAL,6.6,I,Ulmus alata,winged elm,mesophyte,1,control,NA,NA
2188,12,###############################################################################################################################################################################################################################################################,1,PRUNUS,8.4,S,Prunus sp.,cherry,mesophyte,1,control,NA,NA
2189,12,###############################################################################################################################################################################################################################################################,1,CARYA,4.2,S,Carya sp.,hickory,mesophyte,1,control,NA,NA
2190,12,###############################################################################################################################################################################################################################################################,1,VACCI,3,S,Vaccinium sp.,blueberry,mesophyte,1,control,NA,NA
2191,12,###############################################################################################################################################################################################################################################################,E,ACRU,7.9,I,Acer rubrum,red maple,mesophyte,1,control,NA,NA
2192,12,###############################################################################################################################################################################################################################################################,1,CARYA,9.8,I,Carya sp.,hickory,mesophyte,1,control,NA,NA
2193,12,###############################################################################################################################################################################################################################################################,1,LIST,13.3,I,Liquidambar styraciflua,sweetgum,mesophyte,1,control,NA,NA
2194,12,###############################################################################################################################################################################################################################################################,1,ACRU,24.5,I,Acer rubrum,red maple,mesophyte,1,control,NA,NA
2195,12,###############################################################################################################################################################################################################################################################,1,LIST,33.1,C,Liquidambar styraciflua,sweetgum,mesophyte,1,control,NA,NA
2196,12,###############################################################################################################################################################################################################################################################,1,LIST,4,S,Liquidambar styraciflua,sweetgum,mesophyte,1,control,NA,NA
2197,12,###############################################################################################################################################################################################################################################################,1,LIST,36,C,Liquidambar styraciflua,sweetgum,mesophyte,1,control,NA,NA
2198,12,###############################################################################################################################################################################################################################################################,1,LIST,8.6,S,Liquidambar styraciflua,sweetgum,mesophyte,1,control,NA,NA
2199,12,###############################################################################################################################################################################################################################################################,1,VACCI,5,S,Vaccinium sp.,blueberry,mesophyte,1,control,NA,NA
2200,12,###############################################################################################################################################################################################################################################################,1,PITA,47.1,D,Pinus taeda,loblolly pine,pine,1,control,NA,NA
2201,12,###############################################################################################################################################################################################################################################################,E,LIST,27.8,C,Liquidambar styraciflua,sweetgum,mesophyte,1,control,NA,NA
2202,12,###############################################################################################################################################################################################################################################################,E,PRUNUS,21.1,I,Prunus sp.,cherry,mesophyte,1,control,NA,NA
2203,12,###############################################################################################################################################################################################################################################################,E,PRUNUS,20.6,I,Prunus sp.,cherry,mesophyte,1,control,NA,NA
2204,12,###############################################################################################################################################################################################################################################################,1,ACRU,15.8,I,Acer rubrum,red maple,mesophyte,1,control,NA,NA
