Site,Plot,Pine_Seedlings100m2,UO_Seedlings100m2,Meso_Seedlings100m2,Pine_Saplings100m2,UO_Saplings100m2,Meso_Saplings100m2
CR,103,0,0,88.49557522123894,0,0,222.22222222222223
CR,104,0,442.47787610619474,265.4867256637168,0,0,83.33333333333333
CR,105,0,176.99115044247787,265.4867256637168,0,0,55.55555555555556
CR,106,0,0,0,55.55555555555556,0,194.44444444444443
CR,107,0,0,353.98230088495575,111.11111111111111,0,0
Kreher,19,0,0,1592.920353982301,0,0,472.22222222222223
Kreher,20,0,0,0,0,0,0
Kreher,21,0,0,0,0,0,361.11111111111114
Kreher,22,0,176.99115044247787,265.4867256637168,0,27.77777777777778,361.11111111111114
Kreher,23,0,0,88.49557522123894,0,0,388.88888888888886
MOT,24,5221.238938053098,0,884.9557522123895,0,0,0
MOT,25,1858.4070796460178,0,442.47787610619474,0,0,27.77777777777778
MOT,26,3716.8141592920356,0,707.9646017699115,0,0,111.11111111111111
MOT,27,4867.256637168142,0,88.49557522123894,0,0,27.77777777777778
MOT,28,0,0,88.49557522123894,27.77777777777778,0,55.55555555555556
MOT,29,0,88.49557522123894,176.99115044247787,27.77777777777778,27.77777777777778,27.77777777777778
MOT,30,0,0,884.9557522123895,0,0,166.66666666666666
MOT,31,0,0,265.4867256637168,0,0,83.33333333333333
MOT,32,0,0,353.98230088495575,0,0,0
MOT,33,0,0,0,0,0,194.44444444444443
MOT,52,0,0,176.99115044247787,0,27.77777777777778,0
MOT,53,176.99115044247787,0,88.49557522123894,0,0,27.77777777777778
MOT,54,0,0,530.9734513274336,0,0,55.55555555555556
MOT,55,0,0,176.99115044247787,0,0,55.55555555555556
MOT,56,0,0,353.98230088495575,0,27.77777777777778,138.88888888888889
MOT,57,4690.265486725664,0,619.4690265486727,0,27.77777777777778,27.77777777777778
MOT,58,265.4867256637168,0,353.98230088495575,0,0,27.77777777777778
MOT,59,0,0,0,0,0,0
MOT,60,0,0,265.4867256637168,0,0,111.11111111111111
Talladega,61,0,88.49557522123894,0,0,0,333.3333333333333
Talladega,62,0,88.49557522123894,442.47787610619474,0,0,138.88888888888889
Talladega,63,88.49557522123894,176.99115044247787,88.49557522123894,0,0,111.11111111111111
Talladega,64,796.4601769911505,0,265.4867256637168,0,55.55555555555556,138.88888888888889
Talladega,65,0,0,0,0,55.55555555555556,83.33333333333333
Talladega,66,0,0,0,0,0,83.33333333333333
Talladega,67,353.98230088495575,88.49557522123894,1238.9380530973453,0,0,194.44444444444443
Talladega,68,1238.9380530973453,176.99115044247787,0,0,0,0
Talladega,69,353.98230088495575,88.49557522123894,353.98230088495575,83.33333333333333,0,83.33333333333333
Talladega,70,0,0,1150.4424778761063,0,0,250
Talladega,72,88.49557522123894,0,619.4690265486727,27.77777777777778,55.55555555555556,83.33333333333333
Talladega,74,0,88.49557522123894,265.4867256637168,0,0,472.22222222222223
Talladega,75,0,0,796.4601769911505,0,0,416.6666666666667
Talladega,76,0,0,0,0,0,0
Talladega,77,88.49557522123894,0,619.4690265486727,0,55.55555555555556,388.88888888888886
Talladega,78,88.49557522123894,530.9734513274336,707.9646017699115,0,0,166.66666666666666
Talladega,79,176.99115044247787,442.47787610619474,353.98230088495575,0,0,138.88888888888889
Talladega,80,0,88.49557522123894,973.4513274336283,0,0,361.11111111111114
Talladega,81,0,0,353.98230088495575,0,0,416.6666666666667
Talladega,82,0,0,6017.699115044248,0,0,305.55555555555554
Talladega,83,265.4867256637168,265.4867256637168,176.99115044247787,0,0,27.77777777777778
Talladega,84,0,0,0,0,0,0
Talladega,85,0,88.49557522123894,88.49557522123894,0,0,0
Talladega,86,0,176.99115044247787,176.99115044247787,0,0,0
Talladega,87,0,88.49557522123894,265.4867256637168,0,0,0
Talladega,88,530.9734513274336,88.49557522123894,0,0,0,0
Talladega,89,0,88.49557522123894,796.4601769911505,0,0,0
Talladega,91,0,0,88.49557522123894,0,27.77777777777778,83.33333333333333
Talladega,92,442.47787610619474,88.49557522123894,176.99115044247787,0,0,27.77777777777778
Talladega,93,176.99115044247787,265.4867256637168,353.98230088495575,0,27.77777777777778,138.88888888888889
Talladega,94,88.49557522123894,0,0,0,27.77777777777778,83.33333333333333
Talladega,95,0,88.49557522123894,265.4867256637168,0,0,222.22222222222223
Talladega,96,0,176.99115044247787,353.98230088495575,0,0,166.66666666666666
Talladega,97,0,0,176.99115044247787,0,0,333.3333333333333
Talladega,98,0,0,0,0,0,83.33333333333333
Talladega,99,0,0,1150.4424778761063,0,0,27.77777777777778
Talladega,100,0,176.99115044247787,619.4690265486727,0,0,166.66666666666666
Talladega,101,0,1061.9469026548672,1061.9469026548672,0,0,138.88888888888889
Talladega,102,0,176.99115044247787,442.47787610619474,27.77777777777778,0,166.66666666666666
Tuskegee,1,0,0,265.4867256637168,0,0,27.77777777777778
Tuskegee,2,0,0,619.4690265486727,0,0,194.44444444444443
Tuskegee,2.2,0,0,0,0,0,0
Tuskegee,3,530.9734513274336,0,1946.9026548672566,0,0,0
Tuskegee,3.2,0,0,265.4867256637168,0,0,138.88888888888889
Tuskegee,6,0,0,353.98230088495575,0,27.77777777777778,83.33333333333333
Tuskegee,7,0,0,176.99115044247787,0,0,0
Tuskegee,7.2,0,0,176.99115044247787,0,0,0
Tuskegee,8,88.49557522123894,0,530.9734513274336,0,0,138.88888888888889
Tuskegee,9,0,0,442.47787610619474,0,0,27.77777777777778
Tuskegee,12,0,88.49557522123894,353.98230088495575,0,0,83.33333333333333
Tuskegee,17,0,0,442.47787610619474,0,0,55.55555555555556
Tuskegee,34,0,0,1061.9469026548672,0,0,111.11111111111111
Tuskegee,35,0,88.49557522123894,619.4690265486727,0,0,0
Tuskegee,36,0,0,88.49557522123894,0,0,0
Tuskegee,37,0,0,353.98230088495575,0,0,83.33333333333333
Tuskegee,38,0,0,88.49557522123894,0,0,27.77777777777778
Tuskegee,39,0,0,0,0,0,0
Tuskegee,40,0,0,2123.8938053097345,0,0,0
Tuskegee,41,0,0,619.4690265486727,0,0,194.44444444444443
Tuskegee,42,0,0,619.4690265486727,0,0,83.33333333333333
Tuskegee,43,353.98230088495575,0,442.47787610619474,0,0,472.22222222222223
Tuskegee,44,0,0,530.9734513274336,0,0,55.55555555555556
Tuskegee,45,88.49557522123894,442.47787610619474,265.4867256637168,0,0,333.3333333333333
Tuskegee,47,0,88.49557522123894,353.98230088495575,0,0,0
Tuskegee,48,0,0,265.4867256637168,0,0,0
Tuskegee,49,0,0,176.99115044247787,0,0,388.88888888888886
Tuskegee,50,0,0,0,0,0,55.55555555555556
Tuskegee,51,0,0,353.98230088495575,0,0,55.55555555555556
