Site,Plot,group,CWD,FWD,Herbs,Shrub,Duff,Litter
Talladega,95,Pine,0,3.17231252,0.12,1.1400000000000001,3.3038250000000002,4.709529
Talladega,96,Pine,34.21320238,3.18534293,0.05333333,4.17,7.708925,6.603784
Talladega,97,Mixed,9.07241207,4.75967194,0.6533333299999999,0.42000000000000004,4.4051,3.7174059999999995
Talladega,98,Mixed,16.43435664,5.21298414,1.78666667,0.48,3.3038250000000002,6.2043795
Talladega,99,Mixed,9.34593277,2.94504697,0.26666667,1.3800000000000001,7.708925,5.1489295
Talladega,100,Mixed,38.83223511,2.49760907,0.26666667,5.4,2.20255,5.68832
Talladega,101,Mixed,2.60422529,2.28812371,0.26666667,3.5999999999999996,3.3038250000000002,4.693975
Talladega,102,Mixed,0,2.50232738,0.8,2.94,1.541785,5.444455499999999
Tuskegee,1,Mixed,0,5.66757815,0.13599999999999998,0.011999999999999999,6.6076500000000005,6.8159849999999995
Tuskegee,2,Pine,0,2.05967071,0.96,0.023999999999999997,5.506375,4.787299
Tuskegee,2.2,Pine,3.02028495,1.8169998600000001,1.3066666699999998,1.212,2.20255,4.4612205
Tuskegee,3,Mixed,1.24817899,6.122109249999999,0.18666667,0.018,1.101275,6.016065
Tuskegee,3.2,Mixed,3.4671638500000004,3.17824973,0.04666667,2.79,1.101275,5.348354
Tuskegee,6,Mixed,0,1.60157729,0.14,10.32,3.3038250000000002,6.279927499999999
Tuskegee,7,Pine,26.042252910000002,4.99521814,1.04,0.5700000000000001,0,5.2844714999999995
Tuskegee,7.2,Mixed,17.79810775,2.94860929,0.8799999999999999,0.18,0,6.024953
Tuskegee,8,Mixed,12.58580477,2.49879651,0.42666666999999997,4.98,5.506375,4.8467375
Tuskegee,9,Mixed,26.68945683,3.4138273800000003,0.48,1.44,1.101275,3.8012865000000002
Tuskegee,12,Mixed,0,0.68773386,0.12,11.100000000000001,2.20255,7.4598094999999995
Tuskegee,17,Pine,0,2.27271841,0.04,0.21600000000000003,3.3038250000000002,5.063938
Tuskegee,34,Mixed,2.95864648,4.09324914,0.45333333000000003,1.8599999999999999,0,5.579442
Tuskegee,35,Mixed,9.24577026,2.27628073,0.04,0.72,0,6.593785
Tuskegee,36,Mixed,23.368684339999998,1.8229056199999998,0.9333333300000001,0.546,3.3038250000000002,3.7035185
Tuskegee,37,Mixed,8.88749667,2.04426541,1.12,2.9099999999999997,3.3038250000000002,6.090502
Tuskegee,38,Mixed,6.36031946,1.60038984,0.8799999999999999,1.02,3.3038250000000002,4.2856825
Tuskegee,39,Mixed,0,3.1758748399999996,1.65333333,0.3,2.20255,4.603984
Tuskegee,40,Mixed,3.94486198,2.9652020400000003,0.12266667,3.489,5.506375,4.6117609999999996
Tuskegee,41,Pine,8.93757792,3.64228037,0,6.8999999999999995,2.20255,8.661356
Tuskegee,42,Pine,0,2.51067094,0.08666667,2.04,11.01275,4.0201535
Tuskegee,43,Mixed,0,1.5992023999999998,0.07333333,2.2800000000000002,0,4.619538
Tuskegee,44,Mixed,5.593691010000001,4.3110466,0.10266667,3.84,11.01275,4.510660000000001
Tuskegee,45,Mixed,1.1557212799999999,3.1758748399999996,0.0026699999999999996,1.635,13.215300000000001,5.210034500000001
Tuskegee,47,Mixed,0,2.0549209399999997,0.008,0.19199999999999998,4.4051,4.284016
Tuskegee,48,Mixed,4.99271594,1.82646795,0.08533333000000001,0.198,7.708925,3.549645
Tuskegee,49,Pine,0,1.36837452,0.54666667,9.51,4.4051,5.329467
Tuskegee,50,Mixed,0,1.3648121999999998,0.85333333,0.7679999999999999,11.01275,4.5123265
Tuskegee,51,Pine,1.54096171,4.76201537,0.85333333,1.62,3.3038250000000002,3.8112855000000003
