Site,Plot,group,Little_type,encr_pct,pine_pct,uo_pct,encr_load,uo_load,pine_load,total_load,BA_m2ha,BA_ft2a,Pine_m2ha,Pine_ft2a,Pine_pctBAft2a,pine_iv,uo_iv,meso_iv
Tuskegee,37,Mixed,Mesophyte,29.26851514,70.21160161,0.519883254,178.25995,3.16635,427.6239,609.0502,38.45759541,167.51633,23.81071303,103.7163977,61.91420126,151.9142013,0,148.0857987
Tuskegee,38,Mixed,Mesophyte,63.48671419,36.29293584,0.220349968,272.0839,0.94435,155.54,428.56825,40.150836,174.8918678,14.58559299,63.53296359,36.32699701,98.82699702,0,201.173003
Tuskegee,39,Mixed,Mesophyte,27.69063706,72.30936293,0,127.48725,0,332.91115,460.3984,35.86174343,156.2091332,24.53601605,106.8757242,68.41835814,157.307247,0,142.692753
Tuskegee,40,Mixed,Mesophyte,28.05348109,71.94651891,0,129.37595,0,331.80015,461.1761,48.89930393,212.9990668,34.78578283,151.5223875,71.1375828,146.1375828,0,153.8624172
Tuskegee,41,Pine,Mesophyte,28.79681888,69.91405849,1.289122627,249.4195,11.16555,605.55055,866.1356,36.53732403,159.1518753,33.74941386,147.0080978,92.36969249,202.6261028,42.13090687,55.24299036
Tuskegee,42,Pine,Mesophyte,34.24070747,65.75929252,0,137.6529,0,264.36245,402.01535,37.92889197,165.2133659,28.81059169,125.4952249,75.95948682,181.5150423,0,118.4849577
Tuskegee,43,Mixed,Mesophyte,50.78162578,49.21837422,0,234.58765,0,227.36615,461.9538,15.74877161,68.59961975,7.508745515,32.70712789,47.67829328,126.2497218,0,173.7502782
Tuskegee,44,Mixed,Mesophyte,60.86206897,38.25123153,0.886699507,274.5281,3.9996,172.5383,451.066,33.58002381,146.2702566,14.41868713,62.80594315,42.93828739,130.4382874,0,169.5617126
Tuskegee,45,Mixed,Mesophyte,9.659878452,47.25450474,43.0856168,50.3283,224.47755,246.1976,521.00345,28.74965164,125.2297779,12.47256475,54.32888483,43.38335957,118.3833596,63.92141164,117.6952288
Tuskegee,47,Mixed,Mesophyte,44.04823651,52.55446058,3.397302905,188.70335,14.5541,225.14415,428.4016,30.89897221,134.5919413,11.83657577,51.5585988,38.30734463,87.43015165,75.57918521,136.9906631
Tuskegee,48,Mixed,Mesophyte,53.99061033,28.66979656,17.33959311,191.6475,61.5494,101.7676,354.9645,29.22145182,127.2848787,10.77035782,46.91429079,36.85770947,120.1910428,0,179.8089572
Tuskegee,49,Pine,Mesophyte,22.17010632,77.82989368,0,118.15485,0,414.79185,532.9467,50.37215115,219.4145995,36.91554048,160.7993374,73.28561443,166.1427573,0,133.8572427
Tuskegee,50,Mixed,Mesophyte,23.46423735,76.53576265,0,105.8783,0,345.35435,451.23265,60.3770321,262.9945717,37.90067323,165.0904487,62.77332936,136.5828532,0,163.4171468
Tuskegee,51,Pine,Mesophyte,25.22955838,74.77044163,0,96.15705,0,284.9715,381.12855,54.66007926,238.0922618,44.60124503,194.277276,81.59747592,167.9611123,0,132.0388877
MOT,52,Mixed,Mesophyte,24.72402313,20.34343788,54.93253899,78.38105,174.14925,64.49355,317.02385,26.66546317,116.1513215,9.34816459,40.71940035,35.05719937,96.96196128,91.27678213,111.7612566
MOT,53,Mixed,Mesophyte,23.20596458,20.56539298,56.22864244,124.48755,301.6365,110.3223,536.44635,31.79851719,138.5102433,16.75699948,72.99133043,52.69742417,116.7999883,68.93703356,114.2629782
