Site,Plot,group,Biomass_Load_Source,Load_kgm2,Pine_ft2a,Pine_pctBAft2a,pine_iv,uo_iv,meso_iv
MOT,33,30 - 70% Pine,Shrubs,0.363,73.56973436,48.41395056,100.4972839,57.15946343,142.3432527
Tuskegee,34,30 - 70% Pine,Shrubs,0.186,133.377479,70.61363581,153.9469692,0,146.0530308
Tuskegee,35,30 - 70% Pine,Shrubs,0.072,108.4849755,68.59202689,161.4491697,0,138.5508303
Tuskegee,36,30 - 70% Pine,Shrubs,0.0546,81.35088196,30.70242663,100.7024266,0,199.2975734
Tuskegee,37,30 - 70% Pine,Shrubs,0.291,103.7163977,61.91420128,151.9142013,0,148.0857987
Tuskegee,38,30 - 70% Pine,Shrubs,0.102,63.53296359,36.32699701,98.82699702,0,201.173003
Tuskegee,39,30 - 70% Pine,Shrubs,0.03,106.8757242,68.41835812,157.307247,0,142.692753
Tuskegee,40,30 - 70% Pine,Shrubs,0.3489,151.5223875,71.13758281,146.1375828,0,153.8624172
Tuskegee,41,>70% Pine,Shrubs,0.69,147.0080978,92.36969251,202.6261028,42.13090687,55.24299036
Tuskegee,42,>70% Pine,Shrubs,0.204,125.4952249,75.9594868,181.5150423,0,118.4849577
Tuskegee,43,30 - 70% Pine,Shrubs,0.228,32.70712789,47.67829327,126.2497218,0,173.7502782
Tuskegee,44,30 - 70% Pine,Shrubs,0.384,62.80594315,42.93828739,130.4382874,0,169.5617126
Tuskegee,45,30 - 70% Pine,Shrubs,0.1635,54.32888483,43.38335957,118.3833596,63.92141164,117.6952288
Tuskegee,47,30 - 70% Pine,Shrubs,0.0192,51.5585988,38.30734463,87.43015165,75.57918521,136.9906631
Tuskegee,48,30 - 70% Pine,Shrubs,0.0198,46.91429079,36.85770948,120.1910428,0,179.8089572
Tuskegee,49,>70% Pine,Shrubs,0.951,160.7993374,73.28561444,166.1427573,0,133.8572427
Tuskegee,50,30 - 70% Pine,Shrubs,0.0768,165.0904487,62.77332939,136.5828532,0,163.4171468
Tuskegee,51,>70% Pine,Shrubs,0.162,194.277276,81.59747594,167.9611123,0,132.0388877
MOT,52,30 - 70% Pine,Shrubs,0.0468,40.71940035,35.05719938,96.96196128,91.27678213,111.7612566
MOT,53,30 - 70% Pine,Shrubs,0,72.99133043,52.69742415,116.7999883,68.93703356,114.2629782
MOT,54,30 - 70% Pine,Shrubs,0.003,110.795886,65.62694347,167.8008565,0,132.1991435
MOT,55,30 - 70% Pine,Shrubs,0,99.58404735,44.66834421,104.0886341,54.72493338,141.1864326
MOT,56,30 - 70% Pine,Shrubs,6.00E-04,59.18014005,47.74638857,113.131004,0,186.868996
MOT,57,30 - 70% Pine,Shrubs,0.06,84.4588098,49.83643454,94.93447376,75.0303331,130.0351931
