Site,Plot,Avg_Pine,Avg_UO,Avg_SG,Avg_WO,Avg_Meso,Avg_Total
Tuskegee,36,15.709999999999999,0,4.065,12.7,0.8600000000000001,33.335
Tuskegee,37,38.49,0.285,10.120000000000001,0.99,4.935,54.82000000000001
Tuskegee,38,14,0.085,4.765000000000001,8.045,11.68,38.575
Tuskegee,39,29.965,0,4.1850000000000005,5.01,2.28,41.44
Tuskegee,40,29.865000000000002,0,5.17,4.495,1.98,41.51
Tuskegee,41,54.504999999999995,1.005,2.335,19.869999999999997,0.245,77.96000000000001
Tuskegee,42,23.795,0,0,11.925,0.46499999999999997,36.185
Tuskegee,43,20.465,0,0.16,19.725,1.23,41.58
Tuskegee,44,15.530000000000001,0.36,0,24.085,0.625,40.599999999999994
Tuskegee,45,22.16,20.205,0.745,3.55,0.235,46.894999999999996
Tuskegee,47,20.265,1.31,0,16.43,0.5549999999999999,38.56
Tuskegee,48,9.16,5.54,0.665,5.855,10.73,31.95
Tuskegee,49,37.334999999999994,0,3.755,5.175000000000001,1.705,47.97
Tuskegee,50,31.085,0,4.7700000000000005,3.74,1.02,40.614999999999995
Tuskegee,51,25.65,0,8.325,0.14,0.19,34.305
