collection,Plot,Treatment,Burn_Szn,canopy_trt,Total_wt,Pine_wt,UO_wt,SG_wt,WO_wt,MESO_wt
44578,11,control,GS,low,63.63,9.46,21.33,5.87,6.9,3.97
44578,11,control,Control,low,47.83,9.39,14.28,0.94,7.69,7.08
44578,12,thin,ED,high,48.54,24.96,6.27,0,7.24,1.82
44578,12,thin,LD,high,41.07,7.81,0.92,2.31,5.88,4.92
44578,12,thin,GS,high,51.83,6.69,4.19,8.78,15.05,2.24
44578,12,thin,Control,high,72.06,41.13,6.96,5.83,7.17,2.51
44578,12,control,ED,high,46.07,13.35,12.55,0.95,1.71,5.17
44578,12,control,LD,high,58.35,1.37,35.21,0.2,0.5,2.42
44578,12,control,GS,high,48.24,6.06,14.27,1.13,4.3,7.77
44578,12,control,Control,high,42.29,19.33,9.77,0.84,1.06,5.2
